Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Hand grip strength (left)	46									499247	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46
					Hand grip strength (right)	47									499320	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47
					Pulse rate	4194									198598	Complete	Integer	bpm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4194
					Longest period of depression	4609									106194	Complete	Integer	weeks	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4609
					Number of depression episodes	4620									106194	Complete	Integer	periods	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4620
					logMAR in round (left)	5078									133084	Complete	Continuous		Auxiliary	Unisex	2	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5078
					logMAR in round (right)	5079									133134	Complete	Continuous		Auxiliary	Unisex	2	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5079
					Spherical power (right)	5084									129742	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5084
					Spherical power (left)	5085									129279	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5085
					Cylindrical power (left)	5086									129279	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5086
					Cylindrical power (right)	5087									129742	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5087
					Astigmatism angle (right)	5088									129742	Complete	Integer	degrees	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5088
					Astigmatism angle (left)	5089									129279	Complete	Integer	degrees	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5089
					3mm weak meridian (left)	5096									124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5096
					6mm weak meridian (left)	5097									107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5097
					6mm weak meridian (right)	5098									108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5098
					3mm weak meridian (right)	5099									124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5099
					3mm weak meridian angle (right)	5100									124541	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5100
					6mm weak meridian angle (right)	5101									108844	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5101
					6mm weak meridian angle (left)	5102									107718	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5102
					3mm weak meridian angle (left)	5103									124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5103
					3mm strong meridian angle (left)	5104									124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5104
					6mm strong meridian angle (left)	5105									107718	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5105
					6mm strong meridian angle (right)	5106									108844	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5106
					3mm strong meridian angle (right)	5107									124541	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5107
					3mm asymmetry angle (right)	5108									121943	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5108
					6mm asymmetry angle (right)	5109									67183	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5109
					6mm asymmetry angle (left)	5110									66239	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5110
					3mm asymmetry angle (left)	5111									121712	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5111
					3mm cylindrical power angle (left)	5112									124543	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5112
					6mm cylindrical power angle (left)	5113									107687	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5113
					6mm cylindrical power angle (right)	5114									108815	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5114
					3mm cylindrical power angle (right)	5115									124529	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5115
					3mm cylindrical power (right)	5116									124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5116
					6mm cylindrical power (right)	5117									108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5117
					6mm cylindrical power (left)	5118									107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5118
					3mm cylindrical power (left)	5119									124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5119
					3mm strong meridian (right)	5132									124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5132
					6mm strong meridian (right)	5133									108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5133
					6mm strong meridian (left)	5134									107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5134
					3mm strong meridian (left)	5135									124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5135
					3mm asymmetry index (left)	5156									121712	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5156
					6mm asymmetry index (left)	5157									66239	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5157
					6mm asymmetry index (right)	5158									67183	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5158
					3mm asymmetry index (right)	5159									121943	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5159
					3mm regularity index (right)	5160									121981	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5160
					6mm regularity index (right)	5161									67285	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5161
					6mm regularity index (left)	5162									66277	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5162
					3mm regularity index (left)	5163									121731	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5163
					logMAR, initial (right)	5199									133138	Complete	Continuous		Supporting	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5199
					logMAR, initial (left)	5206									133085	Complete	Continuous		Supporting	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5206
					Vertex distance (right)	5215									129742	Complete	Continuous	mm	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5215
					3mm index of best keratometry results (right)	5237									124541	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5237
					6mm index of best keratometry results (right)	5251									108844	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5251
					Intra-ocular pressure, corneal-compensated (right)	5254									127826	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5254
					Intra-ocular pressure, Goldmann-correlated (right)	5255									127826	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5255
					Corneal hysteresis (right)	5256									127826	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5256
					Corneal resistance factor (right)	5257									127826	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5257
					Applanation curve (right)	5258									127826	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5258
					Pressure curve (right)	5259									127826	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5259
					Intra-ocular pressure, corneal-compensated (left)	5262									127456	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5262
					Intra-ocular pressure, Goldmann-correlated (left)	5263									127456	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5263
					Corneal hysteresis (left)	5264									127456	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5264
					Corneal resistance factor (left)	5265									127456	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5265
					Applanation curve (left)	5266									127456	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5266
					Pressure curve (left)	5267									127456	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5267
					Vertex distance (left)	5274									129279	Complete	Continuous	mm	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5274
					Ventricular rate	12336									25071	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12336
					P duration	12338									23842	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12338
					QRS duration	12340									25071	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12340
					Cascot confidence score	20121									14554	Complete	Integer	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20121
					Neuroticism score	20127									401605	Complete	Integer		Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20127
					Waist circumference	48									500433	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48
					Hip circumference	49									500371	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49
					Standing height	50									500063	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50
					Cancer year/age first occurred	84									44241	Complete	Integer		Primary	Unisex	3	6	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84
					Non-cancer illness year/age first occurred	87									382348	Complete	Integer		Primary	Unisex	3	33	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87
					Systolic blood pressure, manual reading	93									48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93
					Diastolic blood pressure, manual reading	94									48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94
					Pulse rate (during blood-pressure measurement)	95									48260	Complete	Integer		Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95
					Pulse rate, automated reading	102									473871	Complete	Integer	bpm	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102
					Number of self-reported cancers	134									501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134
					Number of self-reported non-cancer illnesses	135									501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135
					Number of treatments/medications taken	137									501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137
					Time spend outdoors in summer	1050									498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1050
					Time spent outdoors in winter	1060									498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1060
					Sleep duration	1160									501672	Complete	Integer	hours/day	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1160
					Cooked vegetable intake	1289									501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289
					Salad / raw vegetable intake	1299									501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299
					Fresh fruit intake	1309									501666	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309
					Dried fruit intake	1319									501665	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319
					Bread intake	1438									498663	Complete	Integer	slices/week	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438
					Cereal intake	1458									501560	Complete	Integer	bowls/week	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458
