Annotator	Annotation date	Name	GBE ID	TableID	FieldID	Field	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
x	2017-12-11	Smoking_compared_to_10_years_previous	QT_FC10003506	9797	3506	Smoking compared to 10 years previous	1	0	1		-3	3,2,1			39419	Complete	Categorical single		Primary	Unisex	3	1	100360	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3506	
x	2017-12-11	Wants_to_stop_smoking	QT_FC10003496	9797	3496	Wants to stop smoking	1	0	1		-3	4,3,2,1			39035	Complete	Categorical single		Primary	Unisex	3	1	100359	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3496	
x	2017-12-11	Difficulty_not_smoking_for_1_day	QT_FC10003476	9797	3476	Difficulty not smoking for 1 day	1	0	1		-3	1,2,3,4			36290	Complete	Categorical single		Primary	Unisex	3	1	100357	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3476	
x	2017-12-11	Time_from_waking_to_first_cigarette	QT_FC10003466	9797	3466	Time from waking to first cigarette	1	0	1		-1,-3	1,2,3,4,5			36290	Complete	Categorical single		Primary	Unisex	3	1	100356	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3466	
x	2017-12-11	Number_of_cigarettes_previously_smoked_daily_(current_cigar/pipe_smokers)	INI6183	9797	6183	Number of cigarettes previously smoked daily (current cigar/pipe smokers)	1	0	1		-10,-1				1802	Complete	Integer		Primary	Unisex	3	1	100353	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6183	
x	2017-12-11	Number_of_cigarettes_currently_smoked_daily_(current_cigarette_smokers)	INI3456	9797	3456	Number of cigarettes currently smoked daily (current cigarette smokers)	1	0	1		-10,-1,-3				36640	Complete	Integer	cigarettes/day	Primary	Unisex	3	1	100355	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456	
x	2017-12-11	Number_of_cigarettes_previously_smoked_daily	INI2887	9797	2887	Number of cigarettes previously smoked daily	1	0	1		-10,-1				116770	Complete	Integer	cigarettes/day	Primary	Unisex	3	1	100353	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2887	
x	2017-12-11	Water_intake	INI1528	9797	1528	Water intake	1	0	1		-10,-3,-1				501731	Complete	Integer	glasses/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528	
x	2017-12-11	Coffee_intake	INI1498	9797	1498	Coffee intake	1	0	1		-10,-3,-1				501731	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498	
x	2017-12-11	Tea_intake	INI1488	9797	1488	Tea intake	1	0	1		-10,-3,-1				501731	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488	
x	2017-12-11	Cereal_intake	INI1458	9797	1458	Cereal intake	1	0	1		-10,-3,-1				501626	Complete	Integer	bowls/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458	
x	2017-12-11	Bread_intake	INI1438	9797	1438	Bread intake	1	0	1		-10,-3,-1				498608	Complete	Integer	slices/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438	
x	2017-12-11	Dried_fruit_intake	INI1319	9797	1319	Dried fruit intake	1	0	1		-10,-3,-1				501734	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319	
x	2017-12-11	Fresh_fruit_intake	INI1309	9797	1309	Fresh fruit intake	1	0	1		-10,-3,-1				501735	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309	
