acetaminophen_generic	MED1000000014
alendronate_generic	MED1000000015
alfuzosin_generic	MED1000000016
allopurinol_generic	MED1000000017
amitriptyline_generic	MED1000000018
amlodipine_generic	MED1000000019
anastrozole_generic	MED1000000020
aspirin_generic	MED1000000021
atenolol_generic	MED1000000022
atorvastatin_generic	MED1000000023
azathioprine_generic	MED1000000024
beclomethasone_generic	MED1000000025
bendroflumethiazide_generic	MED1000000026
betahistine_generic	MED1000000027
betamethasone_generic	MED1000000028
bisoprolol_generic	MED1000000029
budesonide_generic	MED1000000030
calcipotriol_generic	MED1000000031
candesartan_generic	MED1000000032
carbamazepine_generic	MED1000000033
celecoxib_generic	MED1000000034
cetirizine_generic	MED1000000035
chlorpheniramine_generic	MED1000000036
citalopram_generic	MED1000000037
clobetasol_generic	MED1000000038
clonidine_generic	MED1000000039
clopidogrel_generic	MED1000000040
codeine_generic	MED1000000041
conjugated_estrogens_generic	MED1000000042
cromoglicate_generic	MED1000000043
desloratadine_generic	MED1000000044
desogestrel_generic	MED1000000045
diazepam_generic	MED1000000046
diclofenac_generic	MED1000000047
digoxin_generic	MED1000000048
diltiazem_generic	MED1000000049
dipyridamole_generic	MED1000000050
domperidone_generic	MED1000000051
doxazosin_generic	MED1000000052
enalapril_generic	MED1000000053
escitalopram_generic	MED1000000054
esomeprazole_generic	MED1000000055
estradiol_generic	MED1000000056
etoricoxib_generic	MED1000000057
ezetimibe_generic	MED1000000058
felodipine_generic	MED1000000059
fenofibrate_generic	MED1000000060
fexofenadine_generic	MED1000000061
finasteride_generic	MED1000000062
flecainide_generic	MED1000000063
fluoxetine_generic	MED1000000064
fluticasone_propionate_generic	MED1000000065
furosemide_generic	MED1000000066
gabapentin_generic	MED1000000067
ginseng_generic	MED1000000068
gliclazide_generic	MED1000000069
glucosamine_generic	MED1000000070
hydrocortisone_generic	MED1000000071
hydroxocobalamin_generic	MED1000000072
hydroxychloroquine_generic	MED1000000073
ibuprofen_generic	MED1000000074
indapamide_generic	MED1000000075
insulin-aspart_generic	MED1000000076
ipratropium_generic	MED1000000077
irbesartan_generic	MED1000000078
iron_generic	MED1000000079
lactulose_generic	MED1000000080
lansoprazole_generic	MED1000000081
latanoprost_generic	MED1000000082
lercanidipine_generic	MED1000000083
levonorgestrel_generic	MED1000000084
levothyroxine_generic	MED1000000085
lisinopril_generic	MED1000000086
loperamide_generic	MED1000000087
loratadine_generic	MED1000000088
losartan_generic	MED1000000089
meloxicam_generic	MED1000000090
mesalazine_generic	MED1000000091
metformin_generic	MED1000000092
methotrexate_generic	MED1000000093
metoprolol_generic	MED1000000094
mirtazapine_generic	MED1000000095
misoprostol_generic	MED1000000096
mometasone_generic	MED1000000097
