cancer1001	lung_cancer
cancer1002	breast_cancer
cancer1003	skin_cancer
cancer1004	cancer_of_lip/mouth/pharynx/oral_cavity
cancer1005	salivary_gland_cancer
cancer1006	larynx/throat_cancer
cancer1007	nasal_cavity_cancer
cancer1008	ear_cancer
cancer1009	sinus_cancer
cancer1010	lip_cancer
cancer1011	tongue_cancer
cancer1012	gum_cancer
cancer1015	parotid_gland_cancer
cancer1017	oesophageal_cancer
cancer1018	stomach_cancer
cancer1019	small_intestine/small_bowel_cancer
cancer1020	large_bowel_cancer/colorectal_cancer
cancer1022	colon_cancer/sigmoid_cancer
cancer1023	rectal_cancer
cancer1024	liver/hepatocellular_cancer
cancer1025	gallbladder/bile_duct_cancer
cancer1026	pancreas_cancer
cancer1029	peripheral_nerve/autonomic_nerve_cancer
cancer1030	eye_and/or_adnexal_cancer
cancer1031	meningeal_cancer_/_malignant_meningioma
cancer1032	brain_cancer_/_primary_malignant_brain_tumour
cancer1033	spinal_cord_or_cranial_nerve_cancer
cancer1034	kidney/renal_cell_cancer
cancer1035	bladder_cancer
cancer1036	other_cancer_of_urinary_tract
cancer1037	female_genital_tract_cancer
cancer1038	male_genital_tract_cancer
cancer1039	ovarian_cancer
cancer1040	uterine/endometrial_cancer
cancer1041	cervical_cancer
cancer1042	vaginal_cancer
cancer1043	vulval_cancer
cancer1044	prostate_cancer
cancer1045	testicular_cancer
cancer1046	penis_cancer
cancer1047	lymphoma
cancer1048	leukaemia
cancer1050	multiple_myeloma
cancer1051	myelofibrosis_or_myelodysplasia
cancer1052	hodgkins_lymphoma_/_hodgkins_disease
cancer1053	non-hodgkins_lymphoma
cancer1055	chronic_lymphocytic
cancer1056	chronic_myeloid
cancer1059	malignant_melanoma
cancer1060	non-melanoma_skin_cancer
cancer1063	primary_bone_cancer
cancer1064	mesothelioma
cancer1065	thyroid_cancer
cancer1066	parathyroid_cancer
cancer1067	adrenal_cancer
cancer1068	sarcoma/fibrosarcoma
cancer1074	acute_myeloid_leukaemia
cancer1075	retinoblastoma
cancer1076	kaposis_sarcoma
cancer1077	mouth_cancer
cancer1079	oropharynx_/_oropharyngeal_cancer
cancer1080	trachea_cancer
cancer1081	thymus_cancer_/_malignant_thymoma
cancer1082	heart_/_mediastinum_cancer
cancer1084	respiratory_/_intrathoracic_cancer
cancer1085	bone_metastases_/_bony_secondaries
cancer1086	appendix_cancer
cancer1087	fallopian_tube_cancer
cancer1088	malignant_insulinoma
