ICD10	Long descriptor of ICD	GBE Name	Controls	Cases	Source	Data field	Disease group	GBE ID
A00 	cholera	TTE_cholera	502518	26	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130000.0.0.phe	130000	Certain infectious and parasitic diseases	HC447
A01	typhoid and paratyphoid fevers	TTE_typhoid_and_paratyphoid_fevers	502392	152	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130002.0.0.phe	130002	Certain infectious and parasitic diseases	HC448
A02	other salmonella infections	TTE_other_salmonella_infections	501777	767	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130004.0.0.phe	130004	Certain infectious and parasitic diseases	HC449
A03	shigellosis	TTE_shigellosis	502336	208	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130006.0.0.phe	130006	Certain infectious and parasitic diseases	HC450
A04	other bacterial intestinal infections	TTE_other_bacterial_intestinal_infections	495262	7282	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130008.0.0.phe	130008	Certain infectious and parasitic diseases	HC451
A05	other bacterial foodborne intoxications	TTE_other_bacterial_foodborne_intoxications	502163	381	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130010.0.0.phe	130010	Certain infectious and parasitic diseases	HC452
A06	amoebiasis	TTE_amoebiasis	502430	114	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130012.0.0.phe	130012	Certain infectious and parasitic diseases	HC453
A07	other protozoal intestinal diseases	TTE_other_protozoal_intestinal_diseases	502060	484	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130014.0.0.phe	130014	Certain infectious and parasitic diseases	HC454
A08	viral and other specified intestinal infections	TTE_viral_and_other_specified_intestinal_infections	497617	4927	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130016.0.0.phe	130016	Certain infectious and parasitic diseases	HC455
A09	diarrhoea and gastro-enteritis of presumed infectious origin	TTE_diarrhoea_and_gastro-enteritis_of_presumed_infectious_origin	487377	15167	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130018.0.0.phe	130018	Certain infectious and parasitic diseases	HC456
A15	respiratory tuberculosis, bacteriologically and histologically confirmed	TTE_respiratory_tuberculosis,_bacteriologically_and_histologically_confirmed	499872	2672	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130020.0.0.phe	130020	Certain infectious and parasitic diseases	HC457
A16	respiratory tuberculosis, not confirmed bacteriologically or histologically	TTE_respiratory_tuberculosis,_not_confirmed_bacteriologically_or_histologically	501912	632	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130022.0.0.phe	130022	Certain infectious and parasitic diseases	HC458
A17	tuberculosis of nervous system	TTE_tuberculosis_of_nervous_system	502523	21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130024.0.0.phe	130024	Certain infectious and parasitic diseases	HC459
A18	tuberculosis of other organs	TTE_tuberculosis_of_other_organs	502361	183	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130026.0.0.phe	130026	Certain infectious and parasitic diseases	HC460
A19	miliary tuberculosis	TTE_miliary_tuberculosis	502523	21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130028.0.0.phe	130028	Certain infectious and parasitic diseases	HC461
A20	plague	TTE_plague	502539	5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130030.0.0.phe	130030	Certain infectious and parasitic diseases	HC462
A22	anthrax	TTE_anthrax	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130034.0.0.phe	130034	Certain infectious and parasitic diseases	HC463
A23	brucellosis	TTE_brucellosis	502512	32	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130036.0.0.phe	130036	Certain infectious and parasitic diseases	HC464
A24	glanders and melioidosis	TTE_glanders_and_melioidosis	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130038.0.0.phe	130038	Certain infectious and parasitic diseases	HC465
A25	rat-bite fevers	TTE_rat-bite_fevers	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130040.0.0.phe	130040	Certain infectious and parasitic diseases	HC466
A26	erysipeloid	TTE_erysipeloid	502532	12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130042.0.0.phe	130042	Certain infectious and parasitic diseases	HC467
A27	leptospirosis	TTE_leptospirosis	502517	27	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130044.0.0.phe	130044	Certain infectious and parasitic diseases	HC468
A28	other zoonotic bacterial diseases, not elsewhere classified	TTE_other_zoonotic_bacterial_diseases,_not_elsewhere_classified	502493	51	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130046.0.0.phe	130046	Certain infectious and parasitic diseases	HC469
A30	leprosy [hansen's disease]	TTE_leprosy_[hansen's_disease]	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130048.0.0.phe	130048	Certain infectious and parasitic diseases	HC470
