gbe_id	name
INI1003500	Monday_acceleration_average
INI1003501	Tuesday_acceleration_average
INI1003502	Wednesday_acceleration_average
INI1003503	Thursday_acceleration_average
INI1003504	Friday_acceleration_average
INI1003505	Saturday_acceleration_average
INI1003506	Sunday_acceleration_average
INI1003507	Fraction_acceleration_<=_1_milli_gravities
INI1003508	Fraction_acceleration_<=_2_milli_gravities
INI1003509	Fraction_acceleration_<=_3_milli_gravities
INI1003510	Fraction_acceleration_<=_4_milli_gravities
INI1003511	Fraction_acceleration_<=_5_milli_gravities
INI1003512	Fraction_acceleration_<=_6_milli_gravities
INI1003513	Fraction_acceleration_<=_7_milli_gravities
INI1003514	Fraction_acceleration_<=_8_milli_gravities
INI1003515	Fraction_acceleration_<=_10_milli_gravities
INI1003516	Fraction_acceleration_<=_11_milli_gravities
INI1003517	Fraction_acceleration_<=_12_milli_gravities
INI1003518	Fraction_acceleration_<=_13_milli_gravities
INI1003519	Fraction_acceleration_<=_14_milli_gravities
INI1003520	Fraction_acceleration_<=_15_milli_gravities
INI1003521	Fraction_acceleration_<=_16_milli_gravities
INI1003522	Fraction_acceleration_<=_17_milli_gravities
INI1003523	Fraction_acceleration_<=_18_milli_gravities
INI1003524	Fraction_acceleration_<=_19_milli_gravities
INI1003525	Fraction_acceleration_<=_20_milli_gravities
INI1003526	Fraction_acceleration_<=_25_milli_gravities
INI1003527	Fraction_acceleration_<=_30_milli_gravities
INI1003528	Fraction_acceleration_<=_35_milli_gravities
INI1003529	Fraction_acceleration_<=_40_milli_gravities
INI1003530	Fraction_acceleration_<=_45_milli_gravities
INI1003531	Fraction_acceleration_<=_50_milli_gravities
INI1003532	Fraction_acceleration_<=_55_milli_gravities
INI1003533	Fraction_acceleration_<=_60_milli_gravities
INI1003534	Fraction_acceleration_<=_65_milli_gravities
INI1003535	Fraction_acceleration_<=_70_milli_gravities
INI1003536	Fraction_acceleration_<=_75_milli_gravities
INI1003537	Fraction_acceleration_<=_80_milli_gravities
INI1003538	Fraction_acceleration_<=_85_milli_gravities
INI1003539	Fraction_acceleration_<=_90_milli_gravities
INI1003540	Fraction_acceleration_<=_95_milli_gravities
INI1003541	Fraction_acceleration_<=_100_milli_gravities
INI1003542	Fraction_acceleration_<=_125_milli_gravities
INI1003543	Fraction_acceleration_<=_150_milli_gravities
INI1003544	Fraction_acceleration_<=_175_milli_gravities
INI1003545	Fraction_acceleration_<=_200_milli_gravities
INI1003546	Fraction_acceleration_<=_225_milli_gravities
INI1003547	Fraction_acceleration_<=_250_milli_gravities
INI1003548	Fraction_acceleration_<=_275_milli_gravities
INI1003549	Fraction_acceleration_<=_300_milli_gravities
INI1003550	Fraction_acceleration_<=_325_milli_gravities
INI1003551	Fraction_acceleration_<=_350_milli_gravities
INI1003552	Fraction_acceleration_<=_375_milli_gravities
INI1003553	Fraction_acceleration_<=_400_milli_gravities
INI1003554	Fraction_acceleration_<=_425_milli_gravities
INI1003555	Fraction_acceleration_<=_450_milli_gravities
INI1003556	Fraction_acceleration_<=_475_milli_gravities
INI1003557	Fraction_acceleration_<=_500_milli_gravities
INI1003558	Fraction_acceleration_<=_600_milli_gravities
INI1003559	Fraction_acceleration_<=_700_milli_gravities
INI1003560	Fraction_acceleration_<=_800_milli_gravities
INI1003561	Fraction_acceleration_<=_900_milli_gravities
INI1003562	Fraction_acceleration_<=_1000_milli_gravities
INI1003563	Fraction_acceleration_<=_1100_milli_gravities
INI1003564	Fraction_acceleration_<=_1200_milli_gravities
INI1003565	Fraction_acceleration_<=_1300_milli_gravities
INI1003566	Fraction_acceleration_<=_1400_milli_gravities
INI1003567	Fraction_acceleration_<=_1500_milli_gravities
INI1003568	Fraction_acceleration_<=_1600_milli_gravities
INI1003569	Fraction_acceleration_<=_1700_milli_gravities
INI1003570	Fraction_acceleration_<=_1800_milli_gravities
INI1003571	Fraction_acceleration_<=_1900_milli_gravities
INI1003572	Job_involves_mainly_walking_or_standing
