Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,3,Verbal interview duration,501685,554594,Complete,Integer,seconds,Data,Auxiliary,Unisex,3,1,,Time taken for interview,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,4,Biometrics duration,497946,552238,Complete,Integer,seconds,Data,Auxiliary,Unisex,3,1,,Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,5,Sample collection duration,501350,557015,Complete,Integer,seconds,Data,Auxiliary,Unisex,3,1,,Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,6,Conclusion duration,499003,554109,Complete,Integer,seconds,Data,Auxiliary,Unisex,3,1,,This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,19,Heel ultrasound method,324789,324789,Complete,Categorical single,"",Data,Primary,Unisex,1,1,100260,Method used for the Ultrasound Bone Densitometry of heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,21,Weight method,500860,555990,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100261,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,23,Spirometry method,459695,506911,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100270,Spirometry method,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23
Population characteristics > Baseline characteristics,100094,31,Sex,502537,502537,Complete,Categorical single,"",Data,Primary,Unisex,1,1,9,"Sex of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31
Population characteristics > Baseline characteristics,100094,33,Date of birth,502537,502537,Complete,Date,"",Data,Primary,Unisex,1,1,,"Date of birth of participant. Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=33
Population characteristics > Baseline characteristics,100094,34,Year of birth,502537,502537,Complete,Integer,years,Data,Primary,Unisex,1,1,,"Year of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,35,Was blood sampling attempted,501350,557015,Complete,Categorical single,"",Data,Primary,Unisex,3,1,7,Indicates whether or not taking blood samples was attempted,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,36,Blood pressure device ID,498738,550820,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Blood pressure (Omron) gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=36
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,37,Blood pressure manual sphygmomanometer device ID,498738,550820,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Blood pressure manual sphygmomanometer gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=37
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,38,Hand grip dynamometer device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Hand grip dynamometer device id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=38
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,39,Height measure device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Height measure gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=39
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,40,Manual scales device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Manual scales gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,41,Seating box device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Sitting box gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,42,Spirometer device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Spirometer gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=42
UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,100009,43,Impedance device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Impedance (Tanita) gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=43
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,44,Tape measure device ID,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Tape measure gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=44
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,45,Heel ultrasound device id,497947,552239,Complete,Text,"",Data,Auxiliary,Unisex,3,1,,Ultrasound heel (Sahara) gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=45
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,46,Hand grip strength (left),499250,553959,Complete,Integer,Kg,Data,Primary,Unisex,3,1,,Left grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,47,Hand grip strength (right),499324,554044,Complete,Integer,Kg,Data,Primary,Unisex,3,1,,Right grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,48,Waist circumference,500427,555526,Complete,Continuous,cm,Data,Primary,Unisex,3,1,,Waist circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,49,Hip circumference,500365,555464,Complete,Continuous,cm,Data,Primary,Unisex,3,1,,Hip circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,50,Standing height,500058,555099,Complete,Continuous,cm,Data,Primary,Unisex,3,1,,Standing height was measured using a Seca 202 device,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,51,Seated height,497148,551193,Complete,Continuous,cm,Data,Primary,Unisex,3,1,,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51
Population characteristics > Baseline characteristics,100094,52,Month of birth,502537,502537,Complete,Categorical single,"",Data,Primary,Unisex,1,1,8,"Calendar month of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
UK Biobank Assessment Centre > Recruitment > Reception,100024,53,Date of attending assessment centre,502537,558426,Complete,Date,"",Data,Primary,Unisex,3,1,,Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53
UK Biobank Assessment Centre > Recruitment > Reception,100024,54,UK Biobank assessment centre,502537,558421,Complete,Categorical single,"",Data,Primary,Unisex,3,1,10,The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54
UK Biobank Assessment Centre > Recruitment > Reception,100024,55,Month of attending assessment centre,502537,558426,Complete,Categorical single,"",Data,Primary,Unisex,3,1,8,Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=55
UK Biobank Assessment Centre > Procedural metrics,100004,62,Willing to attempt cognitive tests,498402,529833,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100641,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=62
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,68,Number of blood samples taken,501350,557015,Complete,Integer,"",Data,Primary,Unisex,3,1,,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=68
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,74,Fasting time,501334,556991,Complete,Integer,hours,Data,Primary,Unisex,3,1,,Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=74
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,77,"Heel bone ultrasound T-score, manual entry",42732,42732,Complete,Continuous,Std.Devs,Data,Primary,Unisex,1,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,78,"Heel bone mineral density (BMD) T-score, automated",279104,279104,Complete,Continuous,Std.Devs,Data,Primary,Unisex,1,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,84,Cancer year/age first occurred,44660,51447,Complete,Integer,"",Data,Primary,Unisex,3,6,37,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,87,Non-cancer illness year/age first occurred,383478,1081034,Complete,Integer,"",Data,Primary,Unisex,3,34,37,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87
UK Biobank Assessment Centre > Verbal interview > Operations,100076,92,Operation year/age first occurred,396975,966300,Complete,Integer,"",Data,Primary,Unisex,3,32,37,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92
