Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
*	2017-Nov-10	Activity_based_therapies_taken_for_anxiety	BIN_FC20020550	Activities undertaken to treat anxiety	20550	0	3		2	-818		3		24217	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20550
*	2017-Nov-10	Activity_based_therapies_taken_for_depression	BIN_FC20020547	Activities undertaken to treat depression	20547	0	3		2	-818		3		40347	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20547
*	2017-Nov-10	Addiction_to_other_medication	BIN_FC30020551	Substance of prescription or over-the-counter medication addiction	20551	0	3		3	-818,4		3		1319	Accruing	Categorical multiple		Primary	Unisex	1	3	1414	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20551
*	2017-Nov-10	Addiction_to_painkiller_medication	BIN_FC20020551	Substance of prescription or over-the-counter medication addiction	20551	0	3		2	-818,4		2		1319	Accruing	Categorical multiple		Primary	Unisex	1	3	1414	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20551
*	2017-Nov-10	Addiction_to_sedative,_benzodiazepine_or_sleeping_medication	BIN_FC10020551	Substance of prescription or over-the-counter medication addiction	20551	0	3		1	-818,4		1		1319	Accruing	Categorical multiple		Primary	Unisex	1	3	1414	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20551
*	2017-Nov-10	Agoraphobia_diagnosed_by _a_professional	BIN_FC150020544	Mental health problems ever diagnosed by a professional	20544	0	19		15	-818,-819		17		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Anorexia_nervosa_diagnosed_by _a_professional	BIN_FC140020544	Mental health problems ever diagnosed by a professional	20544	0	19		14	-818,-819		16		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Anxiety_disorder_diagnosed_by _a_professional	BIN_FC130020544	Mental health problems ever diagnosed by a professional	20544	0	19		13	-818,-819		15		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Attention_deficit_(hyperactivity)_disorder_(ADD/ADHD)_diagnosed_by_a_professional	BIN_FC160020544	Mental health problems ever diagnosed by a professional	20544	0	19		16	-818,-819		18		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Autism_spectrum_disorder_diagnosed_by _a_professional	BIN_FC120020544	Mental health problems ever diagnosed by a professional	20544	0	19		12	-818,-819		14		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Bulimia_nervosa_diagnosed_by _a_professional	BIN_FC100020544	Mental health problems ever diagnosed by a professional	20544	0	19		10	-818,-819		12		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Depression_diagnosed_by _a_professional	BIN_FC90020544	Mental health problems ever diagnosed by a professional	20544	0	19		9	-818,-819		11		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Drugs_or_alcohol_taken_for_anxiety	BIN_FC30020549	Substances taken for anxiety	20549	0	4		3	-818		4		26507	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20549
*	2017-Nov-10	Drugs_or_alcohol_taken_for_depression	BIN_FC30020546	Substances taken for depression	20546	0	4		3	-818		4		45720	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20546
*	2017-Nov-10	Mania,_hypomania,_bipolar_or_manic-depression_diagnosed_by _a_professional	BIN_FC80020544	Mental health problems ever diagnosed by a professional	20544	0	19		8	-818,-819		10		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Manifestations_of_mania_or_irritability_Any_vs_missing	BIN_FC90020548	Manifestations of mania or irritability	20548	0	9		9	-818		1,2,3,5,6,7,8,9		29057	Accruing	Categorical multiple		Primary	Unisex	1	8	1407	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20548
*	2017-Nov-10	Medication_taken_for_anxiety	BIN_FC40020549	Substances taken for anxiety	20549	0	4		4	-818		1,3		26507	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20549
*	2017-Nov-10	Medication_taken_for_depression	BIN_FC40020546	Substances taken for depression	20546	0	4		4	-818		1,3		45720	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20546
*	2017-Nov-10	Mental_health_problems_diagnosed_by_a_professional	BIN_FC170020544	Mental health problems ever diagnosed by a professional	20544	0	19		17	-818,-819		1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Non-drug_therapies_taken_for_anxiety	BIN_FC30020550	Activities undertaken to treat anxiety	20550	0	3		3	-818		1,3		24217	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20550
*	2017-Nov-10	Non-drug_therapies_taken_for_depression	BIN_FC30020547	Activities undertaken to treat depression	20547	0	3		3	-818		1,3		40347	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20547
*	2017-Nov-10	Obsessive_compulsive_disorder_(OCD)_diagnosed_by _a_professional	BIN_FC70020544	Mental health problems ever diagnosed by a professional	20544	0	19		7	-818,-819		7		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Other_behavioral_addiction	BIN_FC20020552	Behavioural and miscellaneous addictions	20552	0	3		2	-818		2		2243	Accruing	Categorical multiple		Primary	Unisex	1	2	1415	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20552
*	2017-Nov-10	Other_non-behavioral_addiction	BIN_FC10020552	Behavioural and miscellaneous addictions	20552	0	3		1	-818		1		2243	Accruing	Categorical multiple		Primary	Unisex	1	2	1415	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20552
*	2017-Nov-10	Other_personality_disorder_diagnosed_by _a_professional	BIN_FC40020544	Mental health problems ever diagnosed by a professional	20544	0	19		4	-818,-819		4		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Other_psychosis_diagnosed_by _a_professional	BIN_FC30020544	Mental health problems ever diagnosed by a professional	20544	0	19		3	-818,-819		3		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Panic_attacks_diagnosed_by _a_professional	BIN_FC60020544	Mental health problems ever diagnosed by a professional	20544	0	19		6	-818,-819		6		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Phobia_diagnosed_by _a_professional	BIN_FC50020544	Mental health problems ever diagnosed by a professional	20544	0	19		5	-818,-819		5		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Prescribed_medication_taken_for_anxiety	BIN_FC20020549	Substances taken for anxiety	20549	0	4		2	-818		3		26507	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20549
*	2017-Nov-10	Prescribed_medication_taken_for_depression	BIN_FC20020546	Substances taken for depression	20546	0	4		2	-818		3		45720	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20546
*	2017-Nov-10	Psychological_over-eating_or_binge-eating_diagnosed_by _a_professional	BIN_FC110020544	Mental health problems ever diagnosed by a professional	20544	0	19		11	-818,-819		13		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Schizophrenia_diagnosed_by _a_professional	BIN_FC20020544	Mental health problems ever diagnosed by a professional	20544	0	19		2	-818,-819		2		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Social_anxiety_or_social_phobia_diagnosed_by _a_professional	BIN_FC10020544	Mental health problems ever diagnosed by a professional	20544	0	19		1	-818,-819		1		50102	Accruing	Categorical multiple		Primary	Unisex	1	16	1401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20544
*	2017-Nov-10	Talking_based_therapies_taken_for_anxiety	BIN_FC10020550	Activities undertaken to treat anxiety	20550	0	3		1	-818		1		24217	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20550
*	2017-Nov-10	Talking_based_therapies_taken_for_depression	BIN_FC10020547	Activities undertaken to treat depression	20547	0	3		1	-818		1		40347	Accruing	Categorical multiple		Primary	Unisex	1	2	1406	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20547
*	2017-Nov-10	Unprescribed_medication_taken_for_anxiety	BIN_FC10020549	Substances taken for anxiety	20549	0	4		1	-818		1		26507	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20549
*	2017-Nov-10	Unprescribed_medication_taken_for_depression	BIN_FC10020546	Substances taken for depression	20546	0	4		1	-818		1		45720	Accruing	Categorical multiple		Primary	Unisex	1	3	1405	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20546
