Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
					Current tobacco smoking	1239									501649	Complete	Categorical single		Primary	Unisex	4	1	100347	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1239	
					Past tobacco smoking	1249									463631	Complete	Categorical single		Primary	Unisex	4	1	100348	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1249	
					Smoking/smokers in household	1259									461082	Complete	Categorical single		Primary	Unisex	4	1	100370	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1259	
					Exposure to tobacco smoke at home	1269									464011	Complete	Integer	hours/week	Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1269	
					Exposure to tobacco smoke outside home	1279									464011	Complete	Integer	hours/week	Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1279	
					"Light smokers, at least 100 smokes in lifetime"	2644									141340	Complete	Categorical single		Primary	Unisex	4	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2644	
					Age started smoking in former smokers	2867									123230	Complete	Integer	years	Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2867	
					Type of tobacco previously smoked	2877									123230	Complete	Categorical single		Primary	Unisex	4	1	100351	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2877	
					Number of cigarettes previously smoked daily	2887									117742	Complete	Integer	cigarettes/day	Primary	Unisex	4	1	100353	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2887	
					Age stopped smoking	2897									123230	Complete	Integer	years	Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2897	
					Ever stopped smoking for 6+ months	2907									122472	Complete	Categorical single		Primary	Unisex	4	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2907	
