Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
Guhan	12/5/2018	Impedance_of_whole_body,_manual_entry	INI6218	11140	Impedance of whole body, manual entry	6218	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6218	
Guhan	12/5/2018	Impedance_of_leg,_manual_entry_(right)	INI6219	11140	Impedance of leg, manual entry (right)	6219	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6219	
Guhan	12/5/2018	Impedance_of_leg,_manual_entry_(left)	INI6220	11140	Impedance of leg, manual entry (left)	6220	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6220	
Guhan	12/5/2018	Impedance_of_arm,_manual_entry_(right)	INI6221	11140	Impedance of arm, manual entry (right)	6221	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6221	
Guhan	12/5/2018	Impedance_of_arm,_manual_entry_(left)	INI6222	11140	Impedance of arm, manual entry (left)	6222	1		1						28	Complete	Integer	ohm	Supporting	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6222	
Guhan	12/5/2018	Weight	INI23098	11140	Weight	23098	1		1						492691	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23098	
Guhan	12/5/2018	Body_fat_percentage	INI23099	11140	Body fat percentage	23099	1		1						492420	Complete	Continuous	percent	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23099	
Guhan	12/5/2018	Whole_body_fat_mass	INI23100	11140	Whole body fat mass	23100	1		1						491864	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23100	
Guhan	12/5/2018	Whole_body_fat-free_mass	INI23101	11140	Whole body fat-free mass	23101	1		1						492644	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23101	
Guhan	12/5/2018	Whole_body_water_mass	INI23102	11140	Whole body water mass	23102	1		1						492687	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23102	
Guhan	12/5/2018	Body_mass_index_(BMI)	INI23104	11140	Body mass index (BMI)	23104	1		1						492684	Complete	Continuous	Kg/m2	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23104	
Guhan	12/5/2018	Basal_metabolic_rate	INI23105	11140	Basal metabolic rate	23105	1		1						492673	Complete	Continuous	KJ	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23105	
Guhan	12/5/2018	Impedance_of_whole_body	INI23106	11140	Impedance of whole body	23106	1		1						492923	Complete	Continuous	ohms	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23106	
Guhan	12/5/2018	Impedance_of_leg_(right)	INI23107	11140	Impedance of leg (right)	23107	1		1						492950	Complete	Continuous	ohms	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23107	
Guhan	12/5/2018	Impedance_of_leg_(left)	INI23108	11140	Impedance of leg (left)	23108	1		1						492945	Complete	Continuous	ohms	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23108	
Guhan	12/5/2018	Impedance_of_arm_(right)	INI23109	11140	Impedance of arm (right)	23109	1		1						492915	Complete	Continuous	ohms	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23109	
Guhan	12/5/2018	Impedance_of_arm_(left)	INI23110	11140	Impedance of arm (left)	23110	1		1						492938	Complete	Continuous	ohms	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23110	
Guhan	12/5/2018	Leg_fat_percentage_(right)	INI23111	11140	Leg fat percentage (right)	23111	1		1						492653	Complete	Continuous	percent	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23111	
Guhan	12/5/2018	Leg_fat_mass_(right)	INI23112	11140	Leg fat mass (right)	23112	1		1						492644	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23112	
Guhan	12/5/2018	Leg_fat-free_mass_(right)	INI23113	11140	Leg fat-free mass (right)	23113	1		1						492632	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23113	
Guhan	12/5/2018	Leg_predicted_mass_(right)	INI23114	11140	Leg predicted mass (right)	23114	1		1						492631	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23114	
Guhan	12/5/2018	Leg_fat_percentage_(left)	INI23115	11140	Leg fat percentage (left)	23115	1		1						492621	Complete	Continuous	percent	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23115	
Guhan	12/5/2018	Leg_fat_mass_(left)	INI23116	11140	Leg fat mass (left)	23116	1		1						492616	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23116	
Guhan	12/5/2018	Leg_fat-free_mass_(left)	INI23117	11140	Leg fat-free mass (left)	23117	1		1						492598	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23117	
Guhan	12/5/2018	Leg_predicted_mass_(left)	INI23118	11140	Leg predicted mass (left)	23118	1		1						492592	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23118	
Guhan	12/5/2018	Arm_fat_percentage_(right)	INI23119	11140	Arm fat percentage (right)	23119	1		1						492580	Complete	Continuous	percent	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23119	
Guhan	12/5/2018	Arm_fat_mass_(right)	INI23120	11140	Arm fat mass (right)	23120	1		1						492546	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23120	
Guhan	12/5/2018	Arm_fat-free_mass_(right)	INI23121	11140	Arm fat-free mass (right)	23121	1		1						492543	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23121	
Guhan	12/5/2018	Arm_predicted_mass_(right)	INI23122	11140	Arm predicted mass (right)	23122	1		1						492535	Complete	Continuous	Kg	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23122	
Guhan	12/5/2018	Arm_fat_percentage_(left)	INI23123	11140	Arm fat percentage (left)	23123	1		1						492513	Complete	Continuous	percent	Derived	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23123	
