Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
				Weight method	21									500856	Complete	Categorical single		Primary	Unisex	4	1	100261	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21
				Spirometry method	23									459992	Complete	Categorical single		Primary	Unisex	4	1	100270	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23
				Sex	31									502524	Complete	Categorical single		Primary	Unisex	1	1	9	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31
				Year of birth	34									502524	Complete	Integer	years	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34
				Month of birth	52									502524	Complete	Categorical single		Primary	Unisex	1	1	8	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
				Date of attending assessment centre	53									502524	Complete	Date		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53
				UK Biobank assessment centre	54									502524	Complete	Categorical single		Primary	Unisex	4	1	10	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54
				Number of columns displayed in round	396									498751	Complete	Integer		Primary	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396
				Number of rows displayed in round	397									498751	Complete	Integer		Primary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397
				Number of correct matches in round	398									498751	Complete	Integer		Primary	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398
				Number of incorrect matches in round	399									498751	Complete	Integer		Primary	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399
				Time to complete round	400									498751	Complete	Integer	deciseconds	Primary	Unisex	4	3	402	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400
				Index for card A in round	401									496609	Complete	Categorical single		Primary	Unisex	4	12	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401
				Index for card B in round	402									496609	Complete	Categorical single		Primary	Unisex	4	12	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402
				Number of times snap-button pressed	403									496609	Complete	Integer		Primary	Unisex	4	12		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403
				Duration to first press of snap-button in each round	404									494241	Complete	Integer	milliseconds	Primary	Unisex	4	12		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404
				Age completed full time education	845									337425	Complete	Integer	years	Primary	Unisex	3	1	100306	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=845
				Answered sexual history questions	2129									501626	Complete	Categorical single		Primary	Unisex	4	1	100503	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2129
				Frequency of solarium/sunlamp use	2277									498721	Complete	Integer	times/year	Primary	Unisex	4	1	100537	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2277
				Most recent bowel cancer screening	2355									177915	Complete	Integer	years	Primary	Unisex	4	1	100567	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2355
				Reason for reducing amount of alcohol drunk	2664									218002	Complete	Categorical single		Primary	Unisex	4	1	100418	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2664
				Years since last breast cancer screening / mammogram	2684									222687	Complete	Integer	years	Primary	Female	4	1	100567	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2684
				Years since last cervical smear test	2704									265917	Complete	Integer	years	Primary	Female	4	1	100569	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2704
				Age at first live birth	2754									185030	Complete	Integer	years	Primary	Female	4	1	100586	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2754
				Age at last live birth	2764									185030	Complete	Integer	years	Primary	Female	4	1	100586	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2764
				Age when last used oral contraceptive pill	2804									220454	Complete	Integer	years	Primary	Female	4	1	100595	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2804
				Result ranking	3059									457305	Complete	Categorical single		Primary	Unisex	4	3	22	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3059
				Ordering of blows	3065									457305	Complete	Categorical single		Primary	Unisex	4	3	23	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3065
