#idx	phe_file	sumstats_file	n_lines	n_non-NA_lines
1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg19.BIN10030500.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779702
2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg19.BIN10030510.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779702
3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg19.BIN10030800.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779259
4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg19.BIN10030820.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779622
5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/10484/white_british/ukb24983_v2_hg19.BIN1020483.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779830
6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/9796/9797/white_british/ukb24983_v2_hg19.BIN1210.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	779529
7	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12139.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/white_british/ukb24983_v2_hg19.BIN12139.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	752750
8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12188.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/white_british/ukb24983_v2_hg19.BIN12188.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	751955
9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/white_british/ukb24983_v2_hg19.BIN1677.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	778436
10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN19.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/white_british/ukb24983_v2_hg19.BIN19.genotyped.PHENO1.glm.logistic.hybrid.gz	784257	777530
