#idx	phe_file	sumstats_file	n_lines	n_non-NA_lines
1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/non_british_white/ukb24983_v2_hg19.BIN10030500.genotyped.glm.logistic.hybrid.gz	784257	756051
2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/non_british_white/ukb24983_v2_hg19.BIN10030510.genotyped.glm.logistic.hybrid.gz	784257	756049
3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/non_british_white/ukb24983_v2_hg19.BIN10030800.genotyped.glm.logistic.hybrid.gz	784257	755020
4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/non_british_white/ukb24983_v2_hg19.BIN10030820.genotyped.glm.logistic.hybrid.gz	784257	755864
5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/10484/non_british_white/ukb24983_v2_hg19.BIN1020483.genotyped.glm.logistic.hybrid.gz	784257	756455
6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/9796/9797/non_british_white/ukb24983_v2_hg19.BIN1210.genotyped.glm.logistic.hybrid.gz	784257	755312
7	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12139.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/non_british_white/ukb24983_v2_hg19.BIN12139.genotyped.glm.logistic.hybrid.gz	784257	721187
8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12188.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/non_british_white/ukb24983_v2_hg19.BIN12188.genotyped.glm.logistic.hybrid.gz	784257	720620
9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/non_british_white/ukb24983_v2_hg19.BIN1677.genotyped.glm.logistic.hybrid.gz	784257	753737
10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN19.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/non_british_white/ukb24983_v2_hg19.BIN19.genotyped.glm.logistic.hybrid.gz	784257	750229
11	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/non_british_white/ukb24983_v2_hg19.BIN1920.genotyped.glm.logistic.hybrid.gz	784257	756062
12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/non_british_white/ukb24983_v2_hg19.BIN1930.genotyped.glm.logistic.hybrid.gz	784257	756187
13	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1940.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/non_british_white/ukb24983_v2_hg19.BIN1940.genotyped.glm.logistic.hybrid.gz	784257	755802
