GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN100020	409	Typical_diet_yesterday	Typical diet yesterday	22
BIN	BIN100240	276	Coffee_consumed	Coffee consumed	15
BIN	BIN100260	169	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73
BIN	BIN100280	61	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74
BIN	BIN10030500	89	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030800	194	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	56	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN100320	2	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67
BIN	BIN100350	6	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76
BIN	BIN100360	39	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100390	385	Tea_consumed	Tea consumed	12
BIN	BIN100460	283	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71
BIN	BIN100470	23	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62
BIN	BIN100480	10	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN100510	111	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26
BIN	BIN100580	158	Alcohol_consumed	Alcohol consumed	16
BIN	BIN100760	248	Breakfast_cereal_consumed	Breakfast cereal consumed	25
BIN	BIN100880	141	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72
BIN	BIN100890	195	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100940	376	Bread_consumed	Bread consumed	14
BIN	BIN101300	264	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34
BIN	BIN1020483	5	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN102080	192	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26
BIN	BIN102130	211	Dessert_consumers	Dessert consumers	17
BIN	BIN102250	254	Sweet_snack_consumers	Sweet snack consumers	21
BIN	BIN102400	274	Savoury_snack_consumers	Savoury snack consumers	23
BIN	BIN102520	188	Soup_consumers	Soup consumers	14
BIN	BIN102700	374	Starchy_food_consumers	Starchy food consumers	22
BIN	BIN102800	172	Cheese_consumers	Cheese consumers	16
BIN	BIN102930	228	Egg_consumers	Egg consumers	13
BIN	BIN103000	402	Meat_consumers	Meat consumers	14
BIN	BIN103120	179	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	Fat removed from meat always (Diet, 24hr recall, Online follow-up)	66
BIN	BIN103130	172	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	Skin removed from poultry always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN103140	270	Fish_consumer	Fish consumer	13
BIN	BIN103990	426	Vegetable_consumers	Vegetable consumers	19
BIN	BIN104040	6	Butter/margarine_added_to_potatoes	Butter/margarine added to potatoes	34
BIN	BIN104400	418	Fruit_consumers	Fruit consumers	15
BIN	BIN104670	236	Vitamin_supplement_user	Vitamin supplement user	23
BIN	BIN1210	391	Snoring	Snoring	7
BIN	BIN12139	1	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39
BIN	BIN12188	77	Brain_MRI_measurement_completed	Brain MRI measurement completed	31
BIN	BIN1518	1127	Drinks_hot_drinks_or_not	Drinks hot drinks or not	24
BIN	BIN1618	351	Alcohol_usually_taken_with_meals	Alcohol usually taken with meals	32
BIN	BIN1677	663	Breastfed_as_a_baby	Breastfed as a baby	19
BIN	BIN19	533	Heel_ultrasound_method	Heel ultrasound method	22
BIN	BIN1920	368	Mood_swings	Mood swings	11
BIN	BIN1930	323	Miserableness	Miserableness	13
BIN	BIN1940	256	Irritability	Irritability	12
BIN	BIN1950	439	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27
BIN	BIN1960	291	Fed-up_feelings	Fed-up feelings	15
BIN	BIN1970	243	Nervous_feelings	Nervous feelings	16
BIN	BIN1980	514	Worrier_/_anxious_feelings	Worrier / anxious feelings	26
BIN	BIN1990	222	Tense_/_'highly_strung'	Tense / 'highly strung'	23
BIN	BIN2000	415	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34
BIN	BIN2010	206	Suffer_from_'nerves'	Suffer from 'nerves'	20
BIN	BIN20123	8	Single_episode_of_probable_major_depression	Single episode of probable major depression	43
BIN	BIN20124	20	Probable_recurrent_major_depression_(moderate)	Probable recurrent major depression (moderate)	46
BIN	BIN20125	10	Probable_recurrent_major_depression_(severe)	Probable recurrent major depression (severe)	44
BIN	BIN2020	174	Loneliness,_isolation	Loneliness, isolation	21
BIN	BIN2030	255	Guilty_feelings	Guilty feelings	15
BIN	BIN2040	286	Risk_taking	Risk taking	11
BIN	BIN20401	13	Ever_addicted_to_any_substance_or_behaviour	Ever addicted to any substance or behaviour	43
BIN	BIN20404	1	Ever_physically_dependent_on_alcohol	Ever physically dependent on alcohol	36
BIN	BIN20406	4	Ever_addicted_to_alcohol	Ever addicted to alcohol	24
BIN	BIN20415	3	Ongoing_addiction_to_alcohol	Ongoing addiction to alcohol	28
BIN	BIN20417	32	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety	Tense, sore, or aching muscles during worst period of anxiety	61
BIN	BIN20419	39	Difficulty_concentrating_during_worst_period_of_anxiety	Difficulty concentrating during worst period of anxiety	55
BIN	BIN20421	44	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	Ever felt worried, tense, or anxious for most of a month or longer	66
BIN	BIN20422	40	More_irritable_than_usual_during_worst_period_of_anxiety	More irritable than usual during worst period of anxiety	56
BIN	BIN20423	31	Keyed_up_or_on_edge_during_worst_period_of_anxiety	Keyed up or on edge during worst period of anxiety	50
BIN	BIN20425	48	Ever_worried_more_than_most_people_would_in_similar_situation	Ever worried more than most people would in similar situation	61
BIN	BIN20426	34	Restless_during_period_of_worst_anxiety	Restless during period of worst anxiety	39
BIN	BIN20427	46	Frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety	Frequent trouble falling or staying asleep during worst period of anxiety	73
BIN	BIN20428	22	Professional_informed_about_anxiety	Professional informed about anxiety	35
BIN	BIN20429	39	Easily_tired_during_worst_period_of_anxiety	Easily tired during worst period of anxiety	43
BIN	BIN20431	7	Ever_addicted_to_a_behaviour_or_miscellanous	Ever addicted to a behaviour or miscellanous	44
BIN	BIN20432	3	Ongoing_behavioural_or_miscellanous_addiction	Ongoing behavioural or miscellanous addiction	45
BIN	BIN20435	83	Difficulty_concentrating_during_worst_depression	Difficulty concentrating during worst depression	48
BIN	BIN20437	55	Thoughts_of_death_during_worst_depression	Thoughts of death during worst depression	41
BIN	BIN20441	71	Ever_had_prolonged_loss_of_interest_in_normal_activities	Ever had prolonged loss of interest in normal activities	56
BIN	BIN20445	4	Depression_possibly_related_to_childbirth	Depression possibly related to childbirth	41
BIN	BIN20446	118	Ever_had_prolonged_feelings_of_sadness_or_depression	Ever had prolonged feelings of sadness or depression	52
BIN	BIN20447	84	Depression_possibly_related_to_stressful_or_traumatic_event	Depression possibly related to stressful or traumatic event	59
BIN	BIN20448	61	Professional_informed_about_depression	Professional informed about depression	38
BIN	BIN20449	86	Feelings_of_tiredness_during_worst_episode_of_depression	Feelings of tiredness during worst episode of depression	56
BIN	BIN20450	61	Feelings_of_worthlessness_during_worst_period_of_depression	Feelings of worthlessness during worst period of depression	59
BIN	BIN20456	0	Ever_addicted_to_illicit_or_recreational_drugs	Ever addicted to illicit or recreational drugs	46
BIN	BIN20457	0	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	Ongoing addiction or dependence on illicit or recreational drugs	64
BIN	BIN20463	4	Ever_heard_an_un-real_voice	Ever heard an un-real voice	27
BIN	BIN20466	0	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	Ever prescribed a medication for unusual or psychotic experiences	65
BIN	BIN20468	4	Ever_believed_in_an_un-real_conspiracy_against_self	Ever believed in an un-real conspiracy against self	51
BIN	BIN20471	3	Ever_seen_an_un-real_vision	Ever seen an un-real vision	27
BIN	BIN20474	4	Ever_believed_in_un-real_communications_or_signs	Ever believed in un-real communications or signs	48
BIN	BIN20477	1	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	Ever talked to a health professional about unusual or psychotic experiences	75
BIN	BIN20480	9	Ever_self-harmed	Ever self-harmed	16
