GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN100020	10426	Typical_diet_yesterday	Typical diet yesterday	22
BIN	BIN100240	8832	Coffee_consumed	Coffee consumed	15
BIN	BIN100260	3992	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73
BIN	BIN100280	2747	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74
BIN	BIN10030500	1842	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030800	3703	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	1087	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN100320	309	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67
BIN	BIN100350	141	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76
BIN	BIN100360	1147	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100390	9388	Tea_consumed	Tea consumed	12
BIN	BIN100460	6626	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71
BIN	BIN100470	519	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62
BIN	BIN100480	406	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN100510	2220	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26
BIN	BIN100580	7198	Alcohol_consumed	Alcohol consumed	16
BIN	BIN100760	7606	Breakfast_cereal_consumed	Breakfast cereal consumed	25
BIN	BIN100880	4252	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72
BIN	BIN100890	6320	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100940	10580	Bread_consumed	Bread consumed	14
BIN	BIN101300	8084	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34
BIN	BIN1020483	221	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN102080	6508	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26
BIN	BIN102130	5351	Dessert_consumers	Dessert consumers	17
BIN	BIN102250	7777	Sweet_snack_consumers	Sweet snack consumers	21
BIN	BIN102400	6078	Savoury_snack_consumers	Savoury snack consumers	23
BIN	BIN102520	3705	Soup_consumers	Soup consumers	14
BIN	BIN102700	5908	Starchy_food_consumers	Starchy food consumers	22
BIN	BIN102800	7516	Cheese_consumers	Cheese consumers	16
BIN	BIN102930	4446	Egg_consumers	Egg consumers	13
BIN	BIN103000	9099	Meat_consumers	Meat consumers	14
BIN	BIN103120	4015	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	Fat removed from meat always (Diet, 24hr recall, Online follow-up)	66
BIN	BIN103130	3924	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	Skin removed from poultry always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN103140	5459	Fish_consumer	Fish consumer	13
BIN	BIN103990	10511	Vegetable_consumers	Vegetable consumers	19
BIN	BIN104040	778	Butter/margarine_added_to_potatoes	Butter/margarine added to potatoes	34
BIN	BIN104400	10314	Fruit_consumers	Fruit consumers	15
BIN	BIN104670	5902	Vitamin_supplement_user	Vitamin supplement user	23
BIN	BIN1210	8244	Snoring	Snoring	7
BIN	BIN12139	32	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39
BIN	BIN12188	1633	Brain_MRI_measurement_completed	Brain MRI measurement completed	31
BIN	BIN1518	24645	Drinks_hot_drinks_or_not	Drinks hot drinks or not	24
BIN	BIN1618	10313	Alcohol_usually_taken_with_meals	Alcohol usually taken with meals	32
BIN	BIN1677	14205	Breastfed_as_a_baby	Breastfed as a baby	19
BIN	BIN19	12377	Heel_ultrasound_method	Heel ultrasound method	22
BIN	BIN1920	10922	Mood_swings	Mood swings	11
BIN	BIN1930	10488	Miserableness	Miserableness	13
BIN	BIN1940	7367	Irritability	Irritability	12
BIN	BIN1950	13147	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27
BIN	BIN1960	9553	Fed-up_feelings	Fed-up feelings	15
BIN	BIN1970	6132	Nervous_feelings	Nervous feelings	16
BIN	BIN1980	13973	Worrier_/_anxious_feelings	Worrier / anxious feelings	26
BIN	BIN1990	5243	Tense_/_'highly_strung'	Tense / 'highly strung'	23
BIN	BIN2000	11647	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34
BIN	BIN2010	4960	Suffer_from_'nerves'	Suffer from 'nerves'	20
BIN	BIN20123	450	Single_episode_of_probable_major_depression	Single episode of probable major depression	43
BIN	BIN20124	776	Probable_recurrent_major_depression_(moderate)	Probable recurrent major depression (moderate)	46
BIN	BIN20125	630	Probable_recurrent_major_depression_(severe)	Probable recurrent major depression (severe)	44
BIN	BIN2020	5271	Loneliness,_isolation	Loneliness, isolation	21
BIN	BIN2030	7753	Guilty_feelings	Guilty feelings	15
BIN	BIN2040	8855	Risk_taking	Risk taking	11
BIN	BIN20401	726	Ever_addicted_to_any_substance_or_behaviour	Ever addicted to any substance or behaviour	43
BIN	BIN20404	71	Ever_physically_dependent_on_alcohol	Ever physically dependent on alcohol	36
BIN	BIN20406	273	Ever_addicted_to_alcohol	Ever addicted to alcohol	24
BIN	BIN20415	108	Ongoing_addiction_to_alcohol	Ongoing addiction to alcohol	28
BIN	BIN20417	1038	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety	Tense, sore, or aching muscles during worst period of anxiety	61
BIN	BIN20419	1983	Difficulty_concentrating_during_worst_period_of_anxiety	Difficulty concentrating during worst period of anxiety	55
BIN	BIN20421	2267	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	Ever felt worried, tense, or anxious for most of a month or longer	66
BIN	BIN20422	1849	More_irritable_than_usual_during_worst_period_of_anxiety	More irritable than usual during worst period of anxiety	56
BIN	BIN20423	1961	Keyed_up_or_on_edge_during_worst_period_of_anxiety	Keyed up or on edge during worst period of anxiety	50
BIN	BIN20425	1949	Ever_worried_more_than_most_people_would_in_similar_situation	Ever worried more than most people would in similar situation	61
BIN	BIN20426	1497	Restless_during_period_of_worst_anxiety	Restless during period of worst anxiety	39
BIN	BIN20427	2215	Frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety	Frequent trouble falling or staying asleep during worst period of anxiety	73
BIN	BIN20428	1740	Professional_informed_about_anxiety	Professional informed about anxiety	35
BIN	BIN20429	1850	Easily_tired_during_worst_period_of_anxiety	Easily tired during worst period of anxiety	43
BIN	BIN20431	184	Ever_addicted_to_a_behaviour_or_miscellanous	Ever addicted to a behaviour or miscellanous	44
BIN	BIN20432	81	Ongoing_behavioural_or_miscellanous_addiction	Ongoing behavioural or miscellanous addiction	45
BIN	BIN20435	3380	Difficulty_concentrating_during_worst_depression	Difficulty concentrating during worst depression	48
BIN	BIN20437	2487	Thoughts_of_death_during_worst_depression	Thoughts of death during worst depression	41
BIN	BIN20441	3424	Ever_had_prolonged_loss_of_interest_in_normal_activities	Ever had prolonged loss of interest in normal activities	56
BIN	BIN20445	332	Depression_possibly_related_to_childbirth	Depression possibly related to childbirth	41
BIN	BIN20446	4783	Ever_had_prolonged_feelings_of_sadness_or_depression	Ever had prolonged feelings of sadness or depression	52
BIN	BIN20447	3536	Depression_possibly_related_to_stressful_or_traumatic_event	Depression possibly related to stressful or traumatic event	59
BIN	BIN20448	3193	Professional_informed_about_depression	Professional informed about depression	38
BIN	BIN20449	3666	Feelings_of_tiredness_during_worst_episode_of_depression	Feelings of tiredness during worst episode of depression	56
BIN	BIN20450	2500	Feelings_of_worthlessness_during_worst_period_of_depression	Feelings of worthlessness during worst period of depression	59
BIN	BIN20456	94	Ever_addicted_to_illicit_or_recreational_drugs	Ever addicted to illicit or recreational drugs	46
BIN	BIN20457	15	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	Ongoing addiction or dependence on illicit or recreational drugs	64
BIN	BIN20463	200	Ever_heard_an_un-real_voice	Ever heard an un-real voice	27
BIN	BIN20466	65	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	Ever prescribed a medication for unusual or psychotic experiences	65
BIN	BIN20468	90	Ever_believed_in_an_un-real_conspiracy_against_self	Ever believed in an un-real conspiracy against self	51
BIN	BIN20471	307	Ever_seen_an_un-real_vision	Ever seen an un-real vision	27
BIN	BIN20474	78	Ever_believed_in_un-real_communications_or_signs	Ever believed in un-real communications or signs	48
BIN	BIN20477	121	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	Ever talked to a health professional about unusual or psychotic experiences	75
BIN	BIN20480	484	Ever_self-harmed	Ever self-harmed	16
BIN	BIN20481	41	Self-harmed_in_past_year	Self-harmed in past year	24
BIN	BIN20483	221	Ever_attempted_suicide	Ever attempted suicide	22
BIN	BIN20484	2	Attempted_suicide_in_past_year	Attempted suicide in past year	30
BIN	BIN20486	297	Contemplated_self-harm_in_past_year	Contemplated self-harm in past year	35
BIN	BIN20496	1189	Mania_needed_treatment_or_caused_problems_with_work,_relationships,_finances,_the_law,_or_other_aspects_of_life	Mania needed treatment or caused problems with work, relationships, finances, the law, or other aspects of life	111
BIN	BIN20499	3573	Ever_sought_or_received_professional_help_for_mental_distress	Ever sought or received professional help for mental distress	61
BIN	BIN20500	2913	Ever_suffered_mental_distress_preventing_usual_activities	Ever suffered mental distress preventing usual activities	57
BIN	BIN20501	462	Ever_had_period_of_mania_/_excitability	Ever had period of mania / excitability	39
BIN	BIN20502	2453	Ever_had_period_extreme_irritability	Ever had period extreme irritability	36
BIN	BIN20503	75	Ever_addicted_to_prescription_or_over-the-counter_medication	Ever addicted to prescription or over-the-counter medication	60
BIN	BIN20504	29	Ongoing_addiction_or_dependence_to_over-the-counter_medication	Ongoing addiction or dependence to over-the-counter medication	62
BIN	BIN20532	3322	Did_your_sleep_change?	Did your sleep change?	22
BIN	BIN20533	2514	Trouble_falling_asleep	Trouble falling asleep	22
BIN	BIN20534	800	Sleeping_too_much	Sleeping too much	17
BIN	BIN20535	2525	Waking_too_early	Waking too early	16
BIN	BIN20538	2357	Worried_most_days_during_period_of_worst_anxiety	Worried most days during period of worst anxiety	48
BIN	BIN20540	2147	Multiple_worries_during_worst_period_of_anxiety	Multiple worries during worst period of anxiety	47
BIN	BIN20541	2521	Difficulty_stopping_worrying_during_worst_period_of_anxiety	Difficulty stopping worrying during worst period of anxiety	59
BIN	BIN20542	1632	Stronger_worrying_(than_other_people)_during_period_of_worst_anxiety	Stronger worrying (than other people) during period of worst anxiety	68
BIN	BIN2090	8480	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	Seen doctor (GP) for nerves, anxiety, tension or depression	59
BIN	BIN2100	3540	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	Seen a psychiatrist for nerves, anxiety, tension or depression	62
BIN	BIN21024	1071	Ever_diagnosed_with_IBS	Ever diagnosed with IBS	23
BIN	BIN21026	88	Discomfort/pain_occurring_only_during_menstrual_bleed	Discomfort/pain occurring only during menstrual bleed	53
BIN	BIN21027	2622	Abdominal_discomfort/pain_for_6_months_or_longer	Abdominal discomfort/pain for 6 months or longer	48
BIN	BIN21035	2605	Currently_(in_last_3_months)_suffer_from_abdominal_pain	Currently (in last 3 months) suffer from abdominal pain	55
BIN	BIN21038	2131	Currently_suffer_from_abdominal_distension	Currently suffer from abdominal distension	42
