GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN100020	10919	Typical_diet_yesterday	Typical diet yesterday	22
BIN	BIN100240	8939	Coffee_consumed	Coffee consumed	15
BIN	BIN100260	4843	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73
BIN	BIN100280	2433	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74
BIN	BIN10030500	2435	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030800	4132	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	1371	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN100320	172	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67
BIN	BIN100350	150	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76
BIN	BIN100360	1446	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100390	9902	Tea_consumed	Tea consumed	12
BIN	BIN100460	7453	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71
BIN	BIN100470	694	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62
BIN	BIN100480	370	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN100510	2526	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26
BIN	BIN100580	6892	Alcohol_consumed	Alcohol consumed	16
BIN	BIN100760	8206	Breakfast_cereal_consumed	Breakfast cereal consumed	25
BIN	BIN100880	4390	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72
BIN	BIN100890	7001	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100940	10971	Bread_consumed	Bread consumed	14
BIN	BIN101300	8704	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34
BIN	BIN1020483	251	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN102080	6449	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26
BIN	BIN102130	5782	Dessert_consumers	Dessert consumers	17
BIN	BIN102250	8242	Sweet_snack_consumers	Sweet snack consumers	21
BIN	BIN102400	6490	Savoury_snack_consumers	Savoury snack consumers	23
BIN	BIN102520	3553	Soup_consumers	Soup consumers	14
BIN	BIN102700	6211	Starchy_food_consumers	Starchy food consumers	22
BIN	BIN102800	7268	Cheese_consumers	Cheese consumers	16
BIN	BIN102930	4628	Egg_consumers	Egg consumers	13
BIN	BIN103000	9488	Meat_consumers	Meat consumers	14
