#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	N_SMR	N_OTH	SOURCE	DATE	PATH
BIN100020	Typical_diet_yesterday	100020	37855	2005693	24983	84624	59682	4681	857	200	1058	7182	4951	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100020.phe
BIN100240	Coffee_consumed	100240	37855	2005693	24983	70901	50765	3945	440	130	563	6019	4070	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100240.phe
BIN100260	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100260	37855	2005693	24983	43023	31274	1813	277	75	369	3837	2221	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100260.phe
BIN100280	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100280	37855	2005693	24983	18810	13596	1233	45	31	84	1539	1099	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100280.phe
BIN10030500	Microalbumin_higher_than_40_mg/L	NA	NA	NA	24983	14409	9434	734	409	41	413	1293	987	NA	2020-09-21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe
BIN10030800	Oestradiol_higher_than_212_pmol/L	NA	NA	NA	24983	24613	16149	1588	523	91	521	1938	1824	NA	2020-09-21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe
BIN10030820	Rheumatoid_factor_higher_than_16_IU/mL	NA	NA	NA	24983	9723	6841	447	113	16	166	872	551	NA	2020-09-21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe
BIN100320	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	100320	37855	2005693	24983	1004	667	137	5	0	7	70	72	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100320.phe
BIN100350	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	100350	37855	2005693	24983	955	635	47	14	3	17	103	74	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100350.phe
BIN100360	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100360	37855	2005693	24983	12931	9472	515	94	16	70	1152	656	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100360.phe
BIN100390	Tea_consumed	100390	37855	2005693	24983	77536	54857	4210	668	189	1013	6575	4524	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100390.phe
BIN100460	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100460	37855	2005693	24983	62837	45063	2998	431	138	890	5427	3420	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100460.phe
