GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN100020	4951	Typical_diet_yesterday	Typical diet yesterday	22
BIN	BIN100240	4070	Coffee_consumed	Coffee consumed	15
BIN	BIN100260	2221	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73
BIN	BIN100280	1099	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74
BIN	BIN10030500	987	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030800	1824	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	551	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN100320	72	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67
BIN	BIN100350	74	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76
BIN	BIN100360	656	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100390	4524	Tea_consumed	Tea consumed	12
BIN	BIN100460	3420	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71
BIN	BIN100470	339	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62
BIN	BIN100480	158	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN100510	1163	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26
BIN	BIN100580	3149	Alcohol_consumed	Alcohol consumed	16
BIN	BIN100760	3704	Breakfast_cereal_consumed	Breakfast cereal consumed	25
BIN	BIN100880	1952	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72
BIN	BIN100890	3182	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100940	4999	Bread_consumed	Bread consumed	14
BIN	BIN101300	3968	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34
BIN	BIN1020483	110	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN102080	2939	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26
BIN	BIN102130	2615	Dessert_consumers	Dessert consumers	17
BIN	BIN102250	3755	Sweet_snack_consumers	Sweet snack consumers	21
BIN	BIN102400	2994	Savoury_snack_consumers	Savoury snack consumers	23
BIN	BIN102520	1632	Soup_consumers	Soup consumers	14
BIN	BIN102700	2886	Starchy_food_consumers	Starchy food consumers	22
BIN	BIN102800	3323	Cheese_consumers	Cheese consumers	16
BIN	BIN102930	2068	Egg_consumers	Egg consumers	13
BIN	BIN103000	4337	Meat_consumers	Meat consumers	14
BIN	BIN103120	1897	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	Fat removed from meat always (Diet, 24hr recall, Online follow-up)	66
BIN	BIN103130	1915	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	Skin removed from poultry always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN103140	2624	Fish_consumer	Fish consumer	13
BIN	BIN103990	4969	Vegetable_consumers	Vegetable consumers	19
BIN	BIN104040	377	Butter/margarine_added_to_potatoes	Butter/margarine added to potatoes	34
BIN	BIN104400	4802	Fruit_consumers	Fruit consumers	15
BIN	BIN104670	2658	Vitamin_supplement_user	Vitamin supplement user	23
BIN	BIN1210	4146	Snoring	Snoring	7
BIN	BIN12139	21	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39
BIN	BIN12188	1104	Brain_MRI_measurement_completed	Brain MRI measurement completed	31
BIN	BIN1518	11678	Drinks_hot_drinks_or_not	Drinks hot drinks or not	24
BIN	BIN1618	4422	Alcohol_usually_taken_with_meals	Alcohol usually taken with meals	32
BIN	BIN1677	6990	Breastfed_as_a_baby	Breastfed as a baby	19
BIN	BIN19	5392	Heel_ultrasound_method	Heel ultrasound method	22
BIN	BIN1920	5514	Mood_swings	Mood swings	11
BIN	BIN1930	5023	Miserableness	Miserableness	13
BIN	BIN1940	3445	Irritability	Irritability	12
BIN	BIN1950	6462	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27
BIN	BIN1960	4830	Fed-up_feelings	Fed-up feelings	15
BIN	BIN1970	2665	Nervous_feelings	Nervous feelings	16
BIN	BIN1980	6533	Worrier_/_anxious_feelings	Worrier / anxious feelings	26
BIN	BIN1990	2396	Tense_/_'highly_strung'	Tense / 'highly strung'	23
BIN	BIN2000	5478	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34
BIN	BIN2010	2371	Suffer_from_'nerves'	Suffer from 'nerves'	20
BIN	BIN20123	272	Single_episode_of_probable_major_depression	Single episode of probable major depression	43
BIN	BIN20124	438	Probable_recurrent_major_depression_(moderate)	Probable recurrent major depression (moderate)	46
BIN	BIN20125	338	Probable_recurrent_major_depression_(severe)	Probable recurrent major depression (severe)	44
