GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN100020	7182	Typical_diet_yesterday	Typical diet yesterday	22
BIN	BIN100240	6019	Coffee_consumed	Coffee consumed	15
BIN	BIN100260	3837	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73
BIN	BIN100280	1539	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74
BIN	BIN10030500	1293	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030800	1938	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	872	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN100320	70	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67
BIN	BIN100350	103	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76
BIN	BIN100360	1152	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100390	6575	Tea_consumed	Tea consumed	12
BIN	BIN100460	5427	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71
BIN	BIN100470	471	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62
BIN	BIN100480	228	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70
BIN	BIN100510	1707	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26
BIN	BIN100580	4899	Alcohol_consumed	Alcohol consumed	16
BIN	BIN100760	5861	Breakfast_cereal_consumed	Breakfast cereal consumed	25
BIN	BIN100880	2977	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72
BIN	BIN100890	5090	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65
BIN	BIN100940	7243	Bread_consumed	Bread consumed	14
BIN	BIN101300	6019	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34
BIN	BIN1020483	125	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN102080	4476	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26
BIN	BIN102130	4051	Dessert_consumers	Dessert consumers	17
