GBE_category	GBE_ID	GBE_N_EXOME	GBE_NAME	GBE_short_name	GBE_short_name_len	Units_of_measurement
BIN	BIN100020	59682	Typical_diet_yesterday	Typical diet yesterday	22	
BIN	BIN100240	50765	Coffee_consumed	Coffee consumed	15	
BIN	BIN100260	31274	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73	
BIN	BIN100280	13596	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74	
BIN	BIN10030500	9434	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22	
BIN	BIN10030800	16149	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23	
BIN	BIN10030820	6841	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28	
BIN	BIN100320	667	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67	
BIN	BIN100350	635	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76	
BIN	BIN100360	9472	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65	
BIN	BIN100390	54857	Tea_consumed	Tea consumed	12	
BIN	BIN100460	45063	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71	
BIN	BIN100470	4325	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62	
BIN	BIN100480	1720	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70	
BIN	BIN100510	14076	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26	
BIN	BIN100580	41840	Alcohol_consumed	Alcohol consumed	16	
BIN	BIN100760	49549	Breakfast_cereal_consumed	Breakfast cereal consumed	25	
BIN	BIN100880	26012	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72	
BIN	BIN100890	43394	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65	
BIN	BIN100940	60652	Bread_consumed	Bread consumed	14	
BIN	BIN101300	50722	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34	
BIN	BIN1020483	1059	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41	
BIN	BIN102080	37540	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26	
BIN	BIN102130	34435	Dessert_consumers	Dessert consumers	17	
BIN	BIN102250	46284	Sweet_snack_consumers	Sweet snack consumers	21	
BIN	BIN102400	33734	Savoury_snack_consumers	Savoury snack consumers	23	
BIN	BIN102520	17994	Soup_consumers	Soup consumers	14	
BIN	BIN102700	28806	Starchy_food_consumers	Starchy food consumers	22	
BIN	BIN102800	40450	Cheese_consumers	Cheese consumers	16	
BIN	BIN102930	24177	Egg_consumers	Egg consumers	13	
BIN	BIN103000	53862	Meat_consumers	Meat consumers	14	
BIN	BIN103120	26134	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	Fat removed from meat always (Diet, 24hr recall, Online follow-up)	66	
BIN	BIN103130	24038	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	Skin removed from poultry always (Diet, 24hr recall, Online follow-up)	70	
BIN	BIN103140	30466	Fish_consumer	Fish consumer	13	
BIN	BIN103990	59986	Vegetable_consumers	Vegetable consumers	19	
BIN	BIN104040	5258	Butter/margarine_added_to_potatoes	Butter/margarine added to potatoes	34	
BIN	BIN104400	57819	Fruit_consumers	Fruit consumers	15	
BIN	BIN104670	32352	Vitamin_supplement_user	Vitamin supplement user	23	
BIN	BIN1210	49986	Snoring	Snoring	7	
BIN	BIN12139	285	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39	
BIN	BIN12188	14753	Brain_MRI_measurement_completed	Brain MRI measurement completed	31	
BIN	BIN1518	136600	Drinks_hot_drinks_or_not	Drinks hot drinks or not	24	
BIN	BIN1618	53642	Alcohol_usually_taken_with_meals	Alcohol usually taken with meals	32	
BIN	BIN1677	76215	Breastfed_as_a_baby	Breastfed as a baby	19	
BIN	BIN19	69757	Heel_ultrasound_method	Heel ultrasound method	22	
BIN	BIN1920	62620	Mood_swings	Mood swings	11	
BIN	BIN1930	59971	Miserableness	Miserableness	13	
BIN	BIN1940	38742	Irritability	Irritability	12	
BIN	BIN1950	76496	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27	
BIN	BIN1960	56528	Fed-up_feelings	Fed-up feelings	15	
BIN	BIN1970	33128	Nervous_feelings	Nervous feelings	16	
BIN	BIN1980	78087	Worrier_/_anxious_feelings	Worrier / anxious feelings	26	
BIN	BIN1990	23954	Tense_/_'highly_strung'	Tense / 'highly strung'	23	
BIN	BIN2000	66082	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34	
BIN	BIN2010	29664	Suffer_from_'nerves'	Suffer from 'nerves'	20	
BIN	BIN20123	3393	Single_episode_of_probable_major_depression	Single episode of probable major depression	43	
BIN	BIN20124	5331	Probable_recurrent_major_depression_(moderate)	Probable recurrent major depression (moderate)	46	
BIN	BIN20125	3116	Probable_recurrent_major_depression_(severe)	Probable recurrent major depression (severe)	44	
BIN	BIN2020	25135	Loneliness,_isolation	Loneliness, isolation	21	
BIN	BIN2030	40136	Guilty_feelings	Guilty feelings	15	
BIN	BIN2040	35161	Risk_taking	Risk taking	11	
BIN	BIN20401	2706	Ever_addicted_to_any_substance_or_behaviour	Ever addicted to any substance or behaviour	43	
BIN	BIN20404	268	Ever_physically_dependent_on_alcohol	Ever physically dependent on alcohol	36	
BIN	BIN20406	1061	Ever_addicted_to_alcohol	Ever addicted to alcohol	24	
BIN	BIN20415	464	Ongoing_addiction_to_alcohol	Ongoing addiction to alcohol	28	
BIN	BIN20417	5187	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety	Tense, sore, or aching muscles during worst period of anxiety	61	
BIN	BIN20419	10701	Difficulty_concentrating_during_worst_period_of_anxiety	Difficulty concentrating during worst period of anxiety	55	
BIN	BIN20421	11898	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	Ever felt worried, tense, or anxious for most of a month or longer	66	
BIN	BIN20422	9686	More_irritable_than_usual_during_worst_period_of_anxiety	More irritable than usual during worst period of anxiety	56	
BIN	BIN20423	11247	Keyed_up_or_on_edge_during_worst_period_of_anxiety	Keyed up or on edge during worst period of anxiety	50	
BIN	BIN20425	10470	Ever_worried_more_than_most_people_would_in_similar_situation	Ever worried more than most people would in similar situation	61	
