GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
Abdominal_MRI	INI22400	46	Liver_iron_(Fe)	Liver iron (Fe)	15
Abdominal_MRI	INI22401	45	Liver_inflammation_factor_(LIF)	Liver inflammation factor (LIF)	31
Abdominal_MRI	INI22402	162	Liver_fat_percentage	Liver fat %	11
Abdominal_MRI	INI22403	200	Anterior_thigh_lean_muscle_volume_(right)	Anterior thigh lean muscle volume (R)	37
Abdominal_MRI	INI22404	200	Posterior_thigh_lean_muscle_volume_(right)	Posterior thigh lean muscle volume (R)	38
Abdominal_MRI	INI22405	197	Anterior_thigh_lean_muscle_volume_(left)	Anterior thigh lean muscle volume (L)	37
Abdominal_MRI	INI22406	197	Posterior_thigh_lean_muscle_volume_(left)	Posterior thigh lean muscle volume (L)	38
Abdominal_MRI	INI22407	309	Visceral_adipose_tissue_volume_(VAT)	Visceral adipose tissue volume (VAT)	36
Abdominal_MRI	INI22408	309	Abdominal_subcutaneous_adipose_tissue_volume_(ASAT)	Abdominal subcutaneous adipose tissue volume (ASAT)	51
Abdominal_MRI	INI22409	306	Total_thigh_muscle_volume	Total thigh muscle volume	25
Abdominal_MRI	INI22410	202	Total_trunk_fat	Total trunk fat	15
Anthropometry	INI12144	2131	Height	Height	6
Anthropometry	INI20015	24825	Sitting_height	Sitting height	14
Anthropometry	INI21001	24795	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI21002	24804	Weight	Weight	6
Anthropometry	INI23098	24466	Weight	Weight	6
Anthropometry	INI23099	24454	Body_fat_percentage	Body fat %	10
Anthropometry	INI23100	24422	Whole_body_fat_mass	Whole body fat mass	19
Anthropometry	INI23101	24463	Whole_body_fat-free_mass	Whole body fat-free mass	24
Anthropometry	INI23102	24466	Whole_body_water_mass	Whole body water mass	21
Anthropometry	INI23104	24466	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI23105	24466	Basal_metabolic_rate	Basal metabolic rate	20
Anthropometry	INI23106	24471	Impedance_of_whole_body	Impedance of whole body	23
Anthropometry	INI23107	24475	Impedance_of_leg_(right)	Impedance of leg (R)	20
Anthropometry	INI23108	24474	Impedance_of_leg_(left)	Impedance of leg (L)	20
Anthropometry	INI23109	24473	Impedance_of_arm_(right)	Impedance of arm (R)	20
Anthropometry	INI23110	24474	Impedance_of_arm_(left)	Impedance of arm (L)	20
Anthropometry	INI23111	24463	Leg_fat_percentage_(right)	Leg fat % (R)	13
Anthropometry	INI23112	24463	Leg_fat_mass_(right)	Leg fat mass (R)	16
Anthropometry	INI23113	24461	Leg_fat-free_mass_(right)	Leg fat-free mass (R)	21
Anthropometry	INI23114	24461	Leg_predicted_mass_(right)	Leg pred. mass (R)	18
Anthropometry	INI23115	24461	Leg_fat_percentage_(left)	Leg fat % (L)	13
Anthropometry	INI23116	24461	Leg_fat_mass_(left)	Leg fat mass (L)	16
Anthropometry	INI23117	24461	Leg_fat-free_mass_(left)	Leg fat-free mass (L)	21
Anthropometry	INI23118	24460	Leg_predicted_mass_(left)	Leg pred. mass (L)	18
Anthropometry	INI23119	24458	Arm_fat_percentage_(right)	Arm fat % (R)	13
Anthropometry	INI23120	24456	Arm_fat_mass_(right)	Arm fat mass (R)	16
Anthropometry	INI23121	24458	Arm_fat-free_mass_(right)	Arm fat-free mass (R)	21
Anthropometry	INI23122	24458	Arm_predicted_mass_(right)	Arm pred. mass (R)	18
Anthropometry	INI23123	24458	Arm_fat_percentage_(left)	Arm fat % (L)	13
Anthropometry	INI23124	24458	Arm_fat_mass_(left)	Arm fat mass (L)	16
Anthropometry	INI23125	24457	Arm_fat-free_mass_(left)	Arm fat-free mass (L)	21
Anthropometry	INI23126	24454	Arm_predicted_mass_(left)	Arm pred. mass (L)	18
Anthropometry	INI23127	24452	Trunk_fat_percentage	Trunk fat %	11
Anthropometry	INI23128	24450	Trunk_fat_mass	Trunk fat mass	14
Anthropometry	INI23129	24445	Trunk_fat-free_mass	Trunk fat-free mass	19
Anthropometry	INI23130	24444	Trunk_predicted_mass	Trunk pred. mass	16
Anthropometry	INI3077	24825	Seating_box_height_used_for_the_sitting_height_measurement_(UKB_ID:_51,_GBE_ID:_INI51)	Seating box height used for the sitting height measurement (UKB ID: 51, GBE ID: INI51)	86
Anthropometry	INI3160	403	Weight,_manual_entry	Weight, manual entry	20
Anthropometry	INI48	24833	Waist_circumference	Waist circumference	19
Anthropometry	INI49	24833	Hip_circumference	Hip circumference	17
Anthropometry	INI50	24826	Standing_height	Standing height	15
Arterial_stiffness	INI21021	10966	Pulse_wave_Arterial_Stiffness_index	Pulse wave Arterial Stiffness index	35
Arterial_stiffness	INI4194	11021	Pulse_rate	Pulse rate	10
Arterial_stiffness	INI4195	11021	Pulse_wave_reflection_index	Pulse wave reflection index	27
Arterial_stiffness	INI4196	11013	Pulse_wave_peak_to_peak_time	Pulse wave peak to peak time	28
Arterial_stiffness	INI4198	11021	Position_of_the_pulse_wave_peak	Position of the pulse wave peak	31
Arterial_stiffness	INI4199	11021	Position_of_pulse_wave_notch	Position of pulse wave notch	28
Biomarkers	INI10030500	7133	Microalbumin_in_urine	Microalbumin in urine	21
Biomarkers	INI10030500	7133	Microalbumin_in_urine	Microalbumin in urine covariate adjusted	40
Biomarkers	INI10030510	22873	Creatinine_in_urine	Creatinine in urine	19
Biomarkers	INI10030510	22873	Creatinine_in_urine	Creatinine (enzymatic) in urine covariate adjusted	50
Biomarkers	INI10030520	22837	Potassium_in_urine	Potassium in urine	18
Biomarkers	INI10030520	22837	Potassium_in_urine	Potassium in urine covariate adjusted	37
Biomarkers	INI10030530	22810	Sodium_in_urine	Sodium in urine	15
