GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
Abdominal_MRI	INI22400	7	Liver_iron_(Fe)	Liver iron (Fe)	15
Abdominal_MRI	INI22401	7	Liver_inflammation_factor_(LIF)	Liver inflammation factor (LIF)	31
Abdominal_MRI	INI22402	25	Liver_fat_percentage	Liver fat %	11
Abdominal_MRI	INI22403	33	Anterior_thigh_lean_muscle_volume_(right)	Anterior thigh lean muscle volume (R)	37
Abdominal_MRI	INI22404	33	Posterior_thigh_lean_muscle_volume_(right)	Posterior thigh lean muscle volume (R)	38
Abdominal_MRI	INI22405	32	Anterior_thigh_lean_muscle_volume_(left)	Anterior thigh lean muscle volume (L)	37
Abdominal_MRI	INI22406	32	Posterior_thigh_lean_muscle_volume_(left)	Posterior thigh lean muscle volume (L)	38
Abdominal_MRI	INI22407	47	Visceral_adipose_tissue_volume_(VAT)	Visceral adipose tissue volume (VAT)	36
Abdominal_MRI	INI22408	47	Abdominal_subcutaneous_adipose_tissue_volume_(ASAT)	Abdominal subcutaneous adipose tissue volume (ASAT)	51
Abdominal_MRI	INI22409	47	Total_thigh_muscle_volume	Total thigh muscle volume	25
Abdominal_MRI	INI22410	33	Total_trunk_fat	Total trunk fat	15
Anthropometry	INI12144	253	Height	Height	6
Anthropometry	INI20015	6403	Sitting_height	Sitting height	14
Anthropometry	INI21001	6398	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI21002	6410	Weight	Weight	6
Anthropometry	INI23098	6305	Weight	Weight	6
Anthropometry	INI23099	6300	Body_fat_percentage	Body fat %	10
Anthropometry	INI23100	6294	Whole_body_fat_mass	Whole body fat mass	19
Anthropometry	INI23101	6304	Whole_body_fat-free_mass	Whole body fat-free mass	24
Anthropometry	INI23102	6305	Whole_body_water_mass	Whole body water mass	21
Anthropometry	INI23104	6305	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI23105	6305	Basal_metabolic_rate	Basal metabolic rate	20
Anthropometry	INI23106	6310	Impedance_of_whole_body	Impedance of whole body	23
Anthropometry	INI23107	6310	Impedance_of_leg_(right)	Impedance of leg (R)	20
Anthropometry	INI23108	6310	Impedance_of_leg_(left)	Impedance of leg (L)	20
Anthropometry	INI23109	6310	Impedance_of_arm_(right)	Impedance of arm (R)	20
Anthropometry	INI23110	6310	Impedance_of_arm_(left)	Impedance of arm (L)	20
Anthropometry	INI23111	6305	Leg_fat_percentage_(right)	Leg fat % (R)	13
Anthropometry	INI23112	6305	Leg_fat_mass_(right)	Leg fat mass (R)	16
Anthropometry	INI23113	6305	Leg_fat-free_mass_(right)	Leg fat-free mass (R)	21
Anthropometry	INI23114	6305	Leg_predicted_mass_(right)	Leg pred. mass (R)	18
Anthropometry	INI23115	6304	Leg_fat_percentage_(left)	Leg fat % (L)	13
Anthropometry	INI23116	6303	Leg_fat_mass_(left)	Leg fat mass (L)	16
Anthropometry	INI23117	6303	Leg_fat-free_mass_(left)	Leg fat-free mass (L)	21
Anthropometry	INI23118	6303	Leg_predicted_mass_(left)	Leg pred. mass (L)	18
Anthropometry	INI23119	6302	Arm_fat_percentage_(right)	Arm fat % (R)	13
Anthropometry	INI23120	6302	Arm_fat_mass_(right)	Arm fat mass (R)	16
Anthropometry	INI23121	6302	Arm_fat-free_mass_(right)	Arm fat-free mass (R)	21
Anthropometry	INI23122	6302	Arm_predicted_mass_(right)	Arm pred. mass (R)	18
Anthropometry	INI23123	6301	Arm_fat_percentage_(left)	Arm fat % (L)	13
Anthropometry	INI23124	6301	Arm_fat_mass_(left)	Arm fat mass (L)	16
Anthropometry	INI23125	6299	Arm_fat-free_mass_(left)	Arm fat-free mass (L)	21
Anthropometry	INI23126	6299	Arm_predicted_mass_(left)	Arm pred. mass (L)	18
Anthropometry	INI23127	6299	Trunk_fat_percentage	Trunk fat %	11
Anthropometry	INI23128	6299	Trunk_fat_mass	Trunk fat mass	14
Anthropometry	INI23129	6298	Trunk_fat-free_mass	Trunk fat-free mass	19
Anthropometry	INI23130	6298	Trunk_predicted_mass	Trunk pred. mass	16
Anthropometry	INI3077	6403	Seating_box_height_used_for_the_sitting_height_measurement_(UKB_ID:_51,_GBE_ID:_INI51)	Seating box height (for the sitting height measurement)	55
Anthropometry	INI3160	109	Weight,_manual_entry	Weight, manual entry	20
Anthropometry	INI48	6418	Waist_circumference	Waist circumference	19
Anthropometry	INI49	6416	Hip_circumference	Hip circumference	17
Anthropometry	INI50	6407	Standing_height	Standing height	15
Anthropometry	INI6218	1	Impedance_of_whole_body,_manual_entry	Impedance of whole body, manual entry	37
Anthropometry	INI6219	1	Impedance_of_leg,_manual_entry_(right)	Impedance of leg, manual entry (R)	34
Anthropometry	INI6220	1	Impedance_of_leg,_manual_entry_(left)	Impedance of leg, manual entry (L)	34
Anthropometry	INI6221	1	Impedance_of_arm,_manual_entry_(right)	Impedance of arm, manual entry (R)	34
Anthropometry	INI6222	1	Impedance_of_arm,_manual_entry_(left)	Impedance of arm, manual entry (L)	34
Arterial_stiffness	INI21021	3795	Pulse_wave_Arterial_Stiffness_index	Pulse wave Arterial Stiffness index	35
Arterial_stiffness	INI4194	3863	Pulse_rate	Pulse rate	10
Arterial_stiffness	INI4195	3863	Pulse_wave_reflection_index	Pulse wave reflection index	27
Arterial_stiffness	INI4196	3858	Pulse_wave_peak_to_peak_time	Pulse wave peak to peak time	28
Arterial_stiffness	INI4198	3863	Position_of_the_pulse_wave_peak	Position of the pulse wave peak	31
Arterial_stiffness	INI4199	3863	Position_of_pulse_wave_notch	Position of pulse wave notch	28
Biomarkers	INI10030500	2679	Microalbumin_in_urine	Microalbumin in urine	21
Biomarkers	INI10030510	5789	Creatinine_in_urine	Creatinine in urine	19
Biomarkers	INI10030520	5786	Potassium_in_urine	Potassium in urine	18
Biomarkers	INI10030530	5781	Sodium_in_urine	Sodium in urine	15
Biomarkers	INI10030600	5573	Albumin	Albumin	7
Biomarkers	INI10030610	6019	Alkaline_phosphatase	Alkaline phosphatase	20
Biomarkers	INI10030620	6017	Alanine_aminotransferase	Alanine aminotransferase	24
Biomarkers	INI10030630	5550	Apolipoprotein_A	Apolipoprotein A	16
Biomarkers	INI10030650	5982	Aspartate_aminotransferase	Aspartate aminotransferase	26
Biomarkers	INI10030660	5007	Direct_bilirubin	Direct bilirubin	16
Biomarkers	INI10030670	6015	Urea	Urea	4
Biomarkers	INI10030680	5576	Calcium	Calcium	7
Biomarkers	INI10030700	6016	Creatinine	Creatinine	10
Biomarkers	INI10030710	6006	C-reactive_protein	C-reactive protein	18
Biomarkers	INI10030720	6015	Cystatin_C	Cystatin C	10
Biomarkers	INI10030730	6015	Gamma_glutamyltransferase	Gamma glutamyltransferase	25
Biomarkers	INI10030740	5568	Glucose	Glucose	7
Biomarkers	INI10030750	4847	HbA1c	HbA1c	5
Biomarkers	INI10030760	5573	HDL_cholesterol	HDL cholesterol	15
Biomarkers	INI10030770	5974	IGF-1	IGF-1	5
Biomarkers	INI10030790	5018	Lipoprotein_A	Lipoprotein A	13
Biomarkers	INI10030810	5568	Phosphate	Phosphate	9
Biomarkers	INI10030830	5523	SHBG	SHBG	4
Biomarkers	INI10030840	5978	Total_bilirubin	Total bilirubin	15
Biomarkers	INI10030850	5453	Testosterone	Testosterone	12
Biomarkers	INI10030860	5573	Total_protein	Total protein	13
Biomarkers	INI10030870	6014	Triglycerides	Triglycerides	13
Biomarkers	INI10030880	6011	Urate	Urate	5
Biomarkers	INI10030890	5845	Vitamin_D	Vitamin D	9
Biomarkers	INI20030640	5962	Apolipoprotein_B	Apolipoprotein B	16
Biomarkers	INI20030690	6014	Cholesterol	Cholesterol	11
Biomarkers	INI20030780	6003	LDL_cholesterol	LDL cholesterol	15
Biomarkers	INI30030650	5981	AST_to_ALT_ratio	AST to ALT ratio	16
Biomarkers	INI30030700	6016	eGFR	EGFR	4
Biomarkers	INI30030860	5573	Non-albumin_protein	Non-albumin protein	19
Blood_assays	BIN23050	107	HSV-1_seropositivity_for_Herpes_Simplex_virus-1	HSV-1 seropositivity for Herpes Simplex virus-1	47
Blood_assays	BIN23051	65	HSV-2_seropositivity_for_Herpes_Simplex_virus-2	HSV-2 seropositivity for Herpes Simplex virus-2	47
Blood_assays	BIN23052	113	VZV_seropositivity_for_Varicella_Zoster_Virus	VZV seropositivity for Varicella Zoster Virus	45
Blood_assays	BIN23053	117	EBV_seropositivity_for_Epstein-Barr_Virus	EBV seropositivity for Epstein-Barr Virus	41
Blood_assays	BIN23054	111	CMV_seropositivity_for_Human_Cytomegalovirus	CMV seropositivity for Human Cytomegalovirus	44
Blood_assays	BIN23055	111	HHV-6_overall_seropositivity_for_Human_Herpesvirus-6	HHV-6 overall seropositivity for Human Herpesvirus-6	52
Blood_assays	BIN23056	101	HHV-6A_seropositivity_for_Human_Herpesvirus-6	HHV-6A seropositivity for Human Herpesvirus-6	45
Blood_assays	BIN23057	104	HHV-6B_seropositivity_for_Human_Herpesvirus-6	HHV-6B seropositivity for Human Herpesvirus-6	45
Blood_assays	BIN23058	112	HHV-7_seropositivity_for_Human_Herpesvirus-7	HHV-7 seropositivity for Human Herpesvirus-7	44
Blood_assays	BIN23059	30	KSHV_seropositivity_for_Kaposi's_Sarcoma-Associated_Herpesvirus	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	63
Blood_assays	BIN23060	30	HBV_seropositivity_for_Hepatitis_B_Virus	HBV seropositivity for Hepatitis B Virus	40
Blood_assays	BIN23061	2	HCV_seropositivity_for_Hepatitis_C_Virus	HCV seropositivity for Hepatitis C Virus	40
Blood_assays	BIN23062	55	T._gondii_seropositivity_for_Toxoplasma_gondii	T. gondii seropositivity for Toxoplasma gondii	46
Blood_assays	BIN23063	1	HTLV-1_seropositivity_for_Human_T-Lymphotropic_Virus_1	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	54
Blood_assays	BIN23064	1	HIV-1_seropositivity_for_Human_Immunodeficiency_Virus	HIV-1 seropositivity for Human Immunodeficiency Virus	53
Blood_assays	BIN23065	118	BKV_seropositivity_for_Human_Polyomavirus_BKV	BKV seropositivity for Human Polyomavirus BKV	45
Blood_assays	BIN23066	83	JCV_seropositivity_for_Human_Polyomavirus_JCV	JCV seropositivity for Human Polyomavirus JCV	45
Blood_assays	BIN23067	96	MCV_seropositivity_for_Merkel_Cell_Polyomavirus	MCV seropositivity for Merkel Cell Polyomavirus	47
