GBE_category	GBE_ID	GBE_N_EXOME	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN10030500	2376	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22
BIN	BIN10030510	1495	UACR_higher_than_30_mg/g	UACR > 30 mg/g	14
BIN	BIN10030800	3957	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23
BIN	BIN10030820	1695	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28
BIN	BIN1020483	401	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41
BIN	BIN1210	13158	Snoring	Snoring	7
BIN	BIN12139	194	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39
BIN	BIN12188	8605	Brain_MRI_measurement_completed	Brain MRI measurement completed	31
BIN	BIN1677	19993	Breastfed_as_a_baby	Breastfed as a baby	19
BIN	BIN19	5297	Heel_ultrasound_method	Heel ultrasound method	22
BIN	BIN1920	16151	Mood_swings	Mood swings	11
BIN	BIN1930	15670	Miserableness	Miserableness	13
BIN	BIN1940	10416	Irritability	Irritability	12
BIN	BIN1950	19822	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27
BIN	BIN1960	14667	Fed-up_feelings	Fed-up feelings	15
BIN	BIN1970	8534	Nervous_feelings	Nervous feelings	16
BIN	BIN1980	19867	Worrier_/_anxious_feelings	Worrier / anxious feelings	26
BIN	BIN1990	6396	Tense_/_'highly_strung'	Tense / 'highly strung'	23
BIN	BIN2000	17463	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34
BIN	BIN2010	7922	Suffer_from_'nerves'	Suffer from 'nerves'	20
BIN	BIN2020	6613	Loneliness,_isolation	Loneliness, isolation	21
BIN	BIN2030	10806	Guilty_feelings	Guilty feelings	15
BIN	BIN2040	9596	Risk_taking	Risk taking	11
BIN	BIN20401	974	Ever_addicted_to_any_substance_or_behaviour	Ever addicted to any substance or behaviour	43
BIN	BIN20404	108	Ever_physically_dependent_on_alcohol	Ever physically dependent on alcohol	36
BIN	BIN20406	397	Ever_addicted_to_alcohol	Ever addicted to alcohol	24
BIN	BIN20415	179	Ongoing_addiction_to_alcohol	Ongoing addiction to alcohol	28
BIN	BIN20421	3996	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	Ever felt worried, tense, or anxious for most of a month or longer	66
BIN	BIN20425	3513	Ever_worried_more_than_most_people_would_in_similar_situation	Ever worried more than most people would in similar situation	61
BIN	BIN20428	3056	Professional_informed_about_anxiety	Professional informed about anxiety	35
BIN	BIN20431	234	Ever_addicted_to_a_behaviour_or_miscellanous	Ever addicted to a behaviour or miscellanous	44
BIN	BIN20432	117	Ongoing_behavioural_or_miscellanous_addiction	Ongoing behavioural or miscellanous addiction	45
BIN	BIN20435	6397	Difficulty_concentrating_during_worst_depression	Difficulty concentrating during worst depression	48
BIN	BIN20437	4404	Thoughts_of_death_during_worst_depression	Thoughts of death during worst depression	41
BIN	BIN20441	6388	Ever_had_prolonged_loss_of_interest_in_normal_activities	Ever had prolonged loss of interest in normal activities	56
BIN	BIN20446	8675	Ever_had_prolonged_feelings_of_sadness_or_depression	Ever had prolonged feelings of sadness or depression	52
BIN	BIN20447	6546	Depression_possibly_related_to_stressful_or_traumatic_event	Depression possibly related to stressful or traumatic event	59
BIN	BIN20448	5913	Professional_informed_about_depression	Professional informed about depression	38
BIN	BIN20449	6663	Feelings_of_tiredness_during_worst_episode_of_depression	Feelings of tiredness during worst episode of depression	56
BIN	BIN20450	4336	Feelings_of_worthlessness_during_worst_period_of_depression	Feelings of worthlessness during worst period of depression	59
BIN	BIN20456	72	Ever_addicted_to_illicit_or_recreational_drugs	Ever addicted to illicit or recreational drugs	46
BIN	BIN20457	10	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	Ongoing addiction or dependence on illicit or recreational drugs	64
BIN	BIN20463	253	Ever_heard_an_un-real_voice	Ever heard an un-real voice	27
BIN	BIN20466	79	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	Ever prescribed a medication for unusual or psychotic experiences	65
BIN	BIN20468	126	Ever_believed_in_an_un-real_conspiracy_against_self	Ever believed in an un-real conspiracy against self	51
BIN	BIN20471	523	Ever_seen_an_un-real_vision	Ever seen an un-real vision	27
BIN	BIN20474	111	Ever_believed_in_un-real_communications_or_signs	Ever believed in un-real communications or signs	48
BIN	BIN20477	157	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	Ever talked to a health professional about unusual or psychotic experiences	75
BIN	BIN20480	724	Ever_self-harmed	Ever self-harmed	16
BIN	BIN20481	54	Self-harmed_in_past_year	Self-harmed in past year	24
BIN	BIN20483	401	Ever_attempted_suicide	Ever attempted suicide	22
BIN	BIN20484	9	Attempted_suicide_in_past_year	Attempted suicide in past year	30
BIN	BIN20486	470	Contemplated_self-harm_in_past_year	Contemplated self-harm in past year	35
BIN	BIN20499	6318	Ever_sought_or_received_professional_help_for_mental_distress	Ever sought or received professional help for mental distress	61
BIN	BIN20500	5362	Ever_suffered_mental_distress_preventing_usual_activities	Ever suffered mental distress preventing usual activities	57
BIN	BIN20501	686	Ever_had_period_of_mania_/_excitability	Ever had period of mania / excitability	39
BIN	BIN20502	4008	Ever_had_period_extreme_irritability	Ever had period extreme irritability	36
BIN	BIN20503	143	Ever_addicted_to_prescription_or_over-the-counter_medication	Ever addicted to prescription or over-the-counter medication	60
BIN	BIN20504	65	Ongoing_addiction_or_dependence_to_over-the-counter_medication	Ongoing addiction or dependence to over-the-counter medication	62
BIN	BIN20532	6213	Did_your_sleep_change?	Did your sleep change?	22
BIN	BIN20533	4770	Trouble_falling_asleep	Trouble falling asleep	22
BIN	BIN20534	1259	Sleeping_too_much	Sleeping too much	17
BIN	BIN20535	4650	Waking_too_early	Waking too early	16
BIN	BIN20538	4255	Worried_most_days_during_period_of_worst_anxiety	Worried most days during period of worst anxiety	48
BIN	BIN20540	3549	Multiple_worries_during_worst_period_of_anxiety	Multiple worries during worst period of anxiety	47
BIN	BIN20541	4572	Difficulty_stopping_worrying_during_worst_period_of_anxiety	Difficulty stopping worrying during worst period of anxiety	59
BIN	BIN20542	2876	Stronger_worrying_(than_other_people)_during_period_of_worst_anxiety	Stronger worrying (than other people) during period of worst anxiety	68
BIN	BIN2090	12898	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	Seen doctor (GP) for nerves, anxiety, tension or depression	59
BIN	BIN2100	4366	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	Seen a psychiatrist for nerves, anxiety, tension or depression	62
BIN	BIN21024	2073	Ever_diagnosed_with_IBS	Ever diagnosed with IBS	23
BIN	BIN21026	124	Discomfort/pain_occurring_only_during_menstrual_bleed	Discomfort/pain occurring only during menstrual bleed	53
BIN	BIN21027	4772	Abdominal_discomfort/pain_for_6_months_or_longer	Abdominal discomfort/pain for 6 months or longer	48
BIN	BIN21035	4967	Currently_(in_last_3_months)_suffer_from_abdominal_pain	Currently (in last 3 months) suffer from abdominal pain	55
BIN	BIN21038	3940	Currently_suffer_from_abdominal_distension	Currently suffer from abdominal distension	42
BIN	BIN21062	3955	Ever_been_offered/sought_treatment_for_anxiety	Ever been offered/sought treatment for anxiety	46
BIN	BIN21063	4387	Ever_been_offered/sought_treatment_for_depression	Ever been offered/sought treatment for depression	49
BIN	BIN21064	0	Sensitive_stomach	Sensitive stomach	17
BIN	BIN21065	2350	Family_history_of_IBS	Family history of IBS	21
BIN	BIN21066	451	Born_by_caesarian_section	Born by caesarian section	25
BIN	BIN21067	2208	Long-term/recurrent_antibiotics_as_child_or_teenager	Long-term/recurrent antibiotics as child or teenager	52
BIN	BIN21068	308	Diagnosed_with_coeliac_disease_or_gluten_sensitivity	Diagnosed with coeliac disease or gluten sensitivity	52
BIN	BIN21070	515	Speed_of_onset_of_IBS_symptoms	Speed of onset of IBS symptoms	30
BIN	BIN21071	194	Infectious_illness_diagnosis_status_when_IBS_symptoms_first_began	Infectious illness diagnosis status when IBS symptoms first began	65
BIN	BIN21073	135	Fever_when_IBS_symptoms_first_began	Fever when IBS symptoms first began	35
BIN	BIN21074	1010	Diarrhoea_when_IBS_symptoms_first_began	Diarrhoea when IBS symptoms first began	39
BIN	BIN21075	122	Bloody_diarrhoea_when_IBS_symptoms_first_began	Bloody diarrhoea when IBS symptoms first began	46
BIN	BIN21076	134	Vomiting_when_IBS_symptoms_first_began	Vomiting when IBS symptoms first began	38
BIN	BIN2188	12565	Long-standing_illness,_disability_or_infirmity	Long-standing illness, disability or infirmity	46
BIN	BIN2207	31740	Wears_glasses_or_contact_lenses	Wears glasses or contact lenses	31
BIN	BIN22126	3014	Doctor_diagnosed_hayfever_or_allergic_rhinitis	Doctor diagnosed hayfever or allergic rhinitis	46
BIN	BIN22127	1701	Doctor_diagnosed_asthma	Doctor diagnosed asthma	23
BIN	BIN22128	34	Doctor_diagnosed_emphysema	Doctor diagnosed emphysema	26
BIN	BIN22129	168	Doctor_diagnosed_chronic_bronchitis	Doctor diagnosed chronic bronchitis	35
BIN	BIN22130	185	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)	Doctor diagnosed COPD	21
BIN	BIN22131	0	Doctor_diagnosed_cystic_fibrosis	Doctor diagnosed cystic fibrosis	32
BIN	BIN22132	1	Doctor_diagnosed_alpha-1_antitrypsin_deficiency	Doctor diagnosed alpha-1 antitrypsin deficiency	47
BIN	BIN22133	65	Doctor_diagnosed_sarcoidosis	Doctor diagnosed sarcoidosis	28
BIN	BIN22134	129	Doctor_diagnosed_bronchiectasis	Doctor diagnosed bronchiectasis	31
BIN	BIN22135	11	Doctor_diagnosed_idiopathic_pulmonary_fibrosis	Doctor diagnosed idiopathic pulmonary fibrosis	46
BIN	BIN22136	3	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis	Doctor diagnosed fibrosing alveolitis/unspecified alveolitis	60
BIN	BIN22137	47	Doctor_diagnosed_tuberculosis	Doctor diagnosed tuberculosis	29
BIN	BIN22138	1	Doctor_diagnosed_silicosis	Doctor diagnosed silicosis	26
BIN	BIN22139	9	Doctor_diagnosed_asbestosis	Doctor diagnosed asbestosis	27
BIN	BIN22140	19	Doctor_diagnosed_lung_cancer_(not_mesothelioma)	Doctor diagnosed lung cancer (not mesothelioma)	47
BIN	BIN22141	1	Doctor_diagnosed_mesothelioma_of_the_lung	Doctor diagnosed mesothelioma of the lung	41
BIN	BIN22502	1694	Cough_on_most_days	Cough on most days	18
BIN	BIN22504	1096	Bring_up_phlegm/sputum/mucus_on_most_days	Bring up phlegm/sputum/mucus on most days	41
BIN	BIN2257	14267	Hearing_difficulty/problems_with_background_noise	Hearing problems with background noise	38
BIN	BIN23050	407	HSV-1_seropositivity_for_Herpes_Simplex_virus-1	HSV-1 seropositivity for Herpes Simplex virus-1	47
BIN	BIN23051	111	HSV-2_seropositivity_for_Herpes_Simplex_virus-2	HSV-2 seropositivity for Herpes Simplex virus-2	47
BIN	BIN23052	589	VZV_seropositivity_for_Varicella_Zoster_Virus	VZV seropositivity for Varicella Zoster Virus	45
BIN	BIN23053	604	EBV_seropositivity_for_Epstein-Barr_Virus	EBV seropositivity for Epstein-Barr Virus	41
