# ontologyName	date	totalNumTerms	totalNumGenesCovered	totalNumGenes	totalNumAnnotations
EnsemblGenes	20171029	18549	18549	18549	18549
GOBiologicalProcess	20171029	13145	16621	18549	1251831
GOCellularComponent	20171029	1726	17726	18549	380581
GOMolecularFunction	20171029	4219	16545	18549	229089
HumanPhenotypeOntology	20171029	6672	3411	18549	256883
MGIExpressionDetected	20171029	649	12639	18549	83569
MGIExpressionNotDetected	20171029	564	8727	18549	59583
MGIPhenoSingleKO	20171029	9149	9408	18549	554948
MGIPhenotype	20171029	9554	9592	18549	709451
MonarchPhenotypeAll	20171029	8627	3540	18549	1067483
MonarchPhenotypeHuman	20171029	8627	3540	18549	1067483
