filename|controls|cases|phenotypename|icd10
coxnet_status_f.131286.0.0.csv|253425|83727|essential (primary) hypertension|I10
coxnet_status_f.130814.0.0.csv|268675|68477|disorders of lipoprotein metabolism and other lipidaemias|E78
coxnet_status_f.131888.0.0.csv|279289|57863|other joint disorders, not elsewhere classified|M25
coxnet_status_f.131960.0.0.csv|282194|54958|other soft tissue disorders, not elsewhere classified|M79
coxnet_status_f.131876.0.0.csv|286652|50500|other arthrosis|M19
coxnet_status_f.131928.0.0.csv|290213|46939|dorsalgia|M54
coxnet_status_f.131494.0.0.csv|291977|45175|asthma|J45
coxnet_status_f.131584.0.0.csv|296719|40433|gastro-oesophageal reflux disease|K21
coxnet_status_f.131462.0.0.csv|296795|40357|unspecified acute lower respiratory infection|J22
coxnet_status_f.130894.0.0.csv|301896|35256|depressive episode|F32
coxnet_status_f.131436.0.0.csv|302865|34287|acute upper respiratory infections of multiple and unspecified sites|J06
coxnet_status_f.131636.0.0.csv|304852|32300|diverticular disease of intestine|K57
coxnet_status_f.131464.0.0.csv|305022|32130|vasomotor and allergic rhinitis|J30
coxnet_status_f.131740.0.0.csv|305184|31968|other dermatitis|L30
coxnet_status_f.131836.0.0.csv|305372|31780|other disorders of skin and subcutaneous tissue, not elsewhere classified|L98
coxnet_status_f.131598.0.0.csv|305440|31712|gastritis and duodenitis|K29
coxnet_status_f.131620.0.0.csv|306606|30546|diaphragmatic hernia|K44
coxnet_status_f.132070.0.0.csv|306977|30175|other disorders of urinary system|N39
coxnet_status_f.131646.0.0.csv|310899|26253|other diseases of anus and rectum|K62
coxnet_status_f.130868.0.0.csv|311504|25648|mental and behavioural disorders due to use of tobacco|F17
coxnet_status_f.131306.0.0.csv|311774|25378|chronic ischaemic heart disease|I25
coxnet_status_f.132152.0.0.csv|312378|24774|menopausal and other perimenopausal disorders|N95
coxnet_status_f.131872.0.0.csv|313027|24125|gonarthrosis [arthrosis of knee]|M17
coxnet_status_f.130696.0.0.csv|314422|22730|other hypothyroidism|E03
coxnet_status_f.130792.0.0.csv|314485|22667|obesity|E66
coxnet_status_f.131650.0.0.csv|314556|22596|haemorrhoids and perianal venous thrombosis|K64
