#GBE_ID	pop
BIN100020	white_british
BIN100020	non_british_white
BIN100020	african
BIN100020	s_asian
BIN100020	e_asian
BIN100020	related
BIN100020	others
BIN100240	white_british
BIN100240	non_british_white
BIN100240	african
BIN100240	s_asian
BIN100240	e_asian
BIN100240	related
BIN100240	others
BIN100260	white_british
BIN100260	non_british_white
BIN100260	african
BIN100260	s_asian
BIN100260	e_asian
BIN100260	related
BIN100260	others
BIN100280	white_british
BIN100280	non_british_white
BIN100280	s_asian
BIN100280	e_asian
BIN100280	related
BIN100280	others
BIN10030500	white_british
BIN10030500	non_british_white
BIN10030500	african
BIN10030500	s_asian
BIN10030500	e_asian
BIN10030500	related
BIN10030500	others
BIN10030800	white_british
BIN10030800	non_british_white
BIN10030800	african
BIN10030800	s_asian
BIN10030800	e_asian
BIN10030800	related
BIN10030800	others
BIN10030820	white_british
BIN10030820	non_british_white
BIN10030820	african
BIN10030820	s_asian
BIN10030820	e_asian
BIN10030820	related
BIN10030820	others
BIN100320	white_british
BIN100320	non_british_white
BIN100320	related
BIN100320	others
BIN100350	white_british
BIN100350	non_british_white
BIN100350	related
BIN100350	others
BIN100360	white_british
BIN100360	non_british_white
BIN100360	african
BIN100360	s_asian
BIN100360	e_asian
BIN100360	related
BIN100360	others
BIN100390	white_british
BIN100390	non_british_white
BIN100390	african
BIN100390	s_asian
BIN100390	e_asian
BIN100390	related
BIN100390	others
BIN100460	white_british
BIN100460	non_british_white
BIN100460	african
BIN100460	s_asian
BIN100460	e_asian
BIN100460	related
BIN100460	others
BIN100470	white_british
BIN100470	non_british_white
BIN100470	african
BIN100470	s_asian
BIN100470	e_asian
BIN100470	related
BIN100470	others
BIN100480	white_british
BIN100480	non_british_white
BIN100480	african
BIN100480	s_asian
BIN100480	related
BIN100480	others
BIN100510	white_british
BIN100510	non_british_white
BIN100510	african
BIN100510	s_asian
BIN100510	e_asian
BIN100510	related
BIN100510	others
BIN100580	white_british
BIN100580	non_british_white
BIN100580	african
BIN100580	s_asian
BIN100580	e_asian
BIN100580	related
BIN100580	others
BIN100760	white_british
BIN100760	non_british_white
BIN100760	african
BIN100760	s_asian
BIN100760	e_asian
BIN100760	related
BIN100760	others
BIN100880	white_british
BIN100880	non_british_white
BIN100880	african
BIN100880	s_asian
BIN100880	e_asian
BIN100880	related
BIN100880	others
BIN100890	white_british
BIN100890	non_british_white
BIN100890	african
BIN100890	s_asian
BIN100890	e_asian
BIN100890	related
BIN100890	others
BIN100940	white_british
BIN100940	non_british_white
BIN100940	african
BIN100940	s_asian
BIN100940	e_asian
BIN100940	related
BIN100940	others
BIN1020483	white_british
BIN1020483	non_british_white
BIN1020483	african
BIN1020483	s_asian
BIN1020483	related
BIN1020483	others
BIN102080	white_british
BIN102080	non_british_white
BIN102080	african
BIN102080	s_asian
BIN102080	e_asian
BIN102080	related
BIN102080	others
BIN102130	white_british
BIN102130	non_british_white
BIN102130	african
BIN102130	s_asian
BIN102130	e_asian
BIN102130	related
BIN102130	others
BIN102250	white_british
BIN102250	non_british_white
BIN102250	african
BIN102250	s_asian
BIN102250	e_asian
BIN102250	related
BIN102250	others
BIN102400	white_british
BIN102400	non_british_white
BIN102400	african
BIN102400	s_asian
BIN102400	e_asian
BIN102400	related
BIN102400	others
BIN102520	white_british
BIN102520	non_british_white
BIN102520	african
BIN102520	s_asian
BIN102520	e_asian
BIN102520	related
BIN102520	others
BIN102700	white_british
BIN102700	non_british_white
BIN102700	african
BIN102700	s_asian
BIN102700	e_asian
BIN102700	related
BIN102700	others
BIN102800	white_british
BIN102800	non_british_white
BIN102800	african
BIN102800	s_asian
BIN102800	e_asian
BIN102800	related
BIN102800	others
BIN102930	white_british
BIN102930	non_british_white
BIN102930	african
BIN102930	s_asian
BIN102930	e_asian
BIN102930	related
BIN102930	others
BIN103000	white_british
BIN103000	non_british_white
BIN103000	african
BIN103000	s_asian
BIN103000	e_asian
BIN103000	related
BIN103000	others
BIN103120	white_british
BIN103120	non_british_white
BIN103120	african
