#GBE_ID	N_GBE	GBE_NAME	N_GBE	N_GBE	Y
BIN12139	340	Believed_safe_to_perform_brain_MRI_scan	340	340	Y
BIN12188	17723	Brain_MRI_measurement_completed	17723	17723	Y
BIN1677	183014	Breastfed_as_a_baby	183014	183014	Y
BIN19	194374	Heel_ultrasound_method_(Direct_entry_vs._Manual_entry)	194374	194374	Y
BIN1920	151108	Mood_swings	151108	151108	Y
BIN1930	144124	Miserableness	144124	144124	Y
BIN1940	92490	Irritability	92490	92490	Y
BIN1950	184612	Sensitivity_/_hurt_feelings	184612	184612	Y
BIN1960	136778	Fed-up_feelings	136778	136778	Y
BIN1970	79396	Nervous_feelings	79396	79396	Y
BIN1980	188822	Worrier_/_anxious_feelings	188822	188822	Y
BIN1990	57394	Tense_/_'highly_strung'	57394	57394	Y
BIN2000	157640	Worry_too_long_after_embarrassment	157640	157640	Y
BIN2010	71057	Suffer_from_'nerves'	71057	71057	Y
BIN2020	60410	Loneliness,_isolation	60410	60410	Y
BIN2030	95449	Guilty_feelings	95449	95449	Y
BIN2040	84769	Risk_taking	84769	84769	Y
BIN20401	6375	Ever_addicted_to_any_substance_or_behaviour	6375	6375	Y
BIN20404	658	Ever_physically_dependent_on_alcohol	658	658	Y
BIN20406	2510	Ever_addicted_to_alcohol	2510	2510	Y
BIN20415	1081	Ongoing_addiction_to_alcohol	1081	1081	Y
BIN20421	27255	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	27255	27255	Y
BIN20425	23817	Ever_worried_more_than_most_people_would_in_similar_situation	23817	23817	Y
BIN20428	20678	Professional_informed_about_anxiety	20678	20678	Y
BIN20431	1474	Ever_addicted_to_a_behaviour_or_miscellanous	1474	1474	Y
BIN20432	698	Ongoing_behavioural_or_miscellanous_addiction	698	698	Y
BIN20435	43070	Difficulty_concentrating_during_worst_depression	43070	43070	Y
BIN20437	30309	Thoughts_of_death_during_worst_depression	30309	30309	Y
BIN20441	43081	Ever_had_prolonged_loss_of_interest_in_normal_activities	43081	43081	Y
BIN20446	59970	Ever_had_prolonged_feelings_of_sadness_or_depression	59970	59970	Y
BIN20447	45222	Depression_possibly_related_to_stressful_or_traumatic_event	45222	45222	Y
BIN20448	39803	Professional_informed_about_depression	39803	39803	Y
BIN20449	45512	Feelings_of_tiredness_during_worst_episode_of_depression	45512	45512	Y
BIN20450	29286	Feelings_of_worthlessness_during_worst_period_of_depression	29286	29286	Y
BIN20456	449	Ever_addicted_to_illicit_or_recreational_drugs	449	449	Y
BIN20457	65	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	65	65	Y
BIN20463	1832	Ever_heard_an_un-real_voice	1832	1832	Y
BIN20466	588	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	588	588	Y
BIN20468	850	Ever_believed_in_an_un-real_conspiracy_against_self	850	850	Y
BIN20471	3478	Ever_seen_an_un-real_vision	3478	3478	Y
BIN20474	757	Ever_believed_in_un-real_communications_or_signs	757	757	Y
BIN20477	1124	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	1124	1124	Y
BIN20480	4656	Ever_self-harmed	4656	4656	Y
BIN20481	394	Self-harmed_in_past_year	394	394	Y
BIN20483	2433	Ever_attempted_suicide	2433	2433	Y
BIN20484	65	Attempted_suicide_in_past_year	65	65	Y
BIN20486	3168	Contemplated_self-harm_in_past_year	3168	3168	Y
BIN20499	42760	Ever_sought_or_received_professional_help_for_mental_distress	42760	42760	Y
BIN20500	35911	Ever_suffered_mental_distress_preventing_usual_activities	35911	35911	Y
BIN20501	4422	Ever_had_period_of_mania_/_excitability	4422	4422	Y
BIN20502	27566	Ever_had_period_extreme_irritability	27566	27566	Y
BIN20503	920	Ever_addicted_to_prescription_or_over-the-counter_medication	920	920	Y
BIN20504	390	Ongoing_addiction_or_dependence_to_over-the-counter_medication	390	390	Y
BIN20532	42436	Did_your_sleep_change?	42436	42436	Y
BIN20533	32132	Trouble_falling_asleep	32132	32132	Y
BIN20534	8605	Sleeping_too_much	8605	8605	Y
BIN20535	32163	Waking_too_early	32163	32163	Y
BIN20538	28953	Worried_most_days_during_period_of_worst_anxiety	28953	28953	Y
BIN20540	24467	Multiple_worries_during_worst_period_of_anxiety	24467	24467	Y
BIN20541	31144	Difficulty_stopping_worrying_during_worst_period_of_anxiety	31144	31144	Y
BIN20542	19236	Stronger_worrying_(than_other_people)_during_period_of_worst_anxiety	19236	19236	Y
BIN2090	116857	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	116857	116857	Y
BIN2100	38744	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	38744	38744	Y
BIN21024	14943	Ever_diagnosed_with_IBS	14943	14943	Y
BIN21026	721	Discomfort/pain_occurring_only_during_menstrual_bleed	721	721	Y
BIN21027	34103	Abdominal_discomfort_pain_for_6_months_or_longer	34103	34103	Y
BIN21035	35331	Currently_in_last_3_months_suffer_from_abdominal_pain	35331	35331	Y
BIN21038	28116	Currently_suffer_from_abdominal_distension	28116	28116	Y
BIN21062	27407	Ever_been_offered_sought_treatment_for_anxiety	27407	27407	Y
BIN21063	29535	Ever_been_offered_sought_treatment_for_depression	29535	29535	Y
BIN21064	0	Sensitive_stomach	0	0	Y
BIN21065	17140	Family_history_of_IBS	17140	17140	Y
BIN21066	3162	Born_by_caesarian_section	3162	3162	Y
BIN21067	15835	Long-term_recurrent_antibiotics_as_child_or_teenager	15835	15835	Y
BIN21068	2294	Diagnosed_with_coeliac_disease_or_gluten_sensitivity	2294	2294	Y
BIN21069	2294	Method_of_coeliac_disease/gluten_sensitivity_diagnosis	2294	2294	Y
BIN21070	3758	Speed_of_onset_of_IBS_symptoms	3758	3758	Y
BIN21071	1454	Infectious_illness_diagnosis_status_when_IBS_symptoms_first_began	1454	1454	Y
BIN21073	1025	Fever_when_IBS_symptoms_first_began	1025	1025	Y
BIN21074	7517	Diarrhoea_when_IBS_symptoms_first_began	7517	7517	Y
BIN21075	817	Bloody_diarrhoea_when_IBS_symptoms_first_began	817	817	Y
BIN21076	989	Vomiting_when_IBS_symptoms_first_began	989	989	Y
BIN2207	302774	Wears_glasses_or_contact_lenses	302774	302774	Y
BIN22126	19546	Doctor_diagnosed_hayfever_or_allergic_rhinitis	19546	19546	Y
BIN22127	10935	Doctor_diagnosed_asthma	10935	10935	Y
BIN22128	261	Doctor_diagnosed_emphysema	261	261	Y
BIN22129	969	Doctor_diagnosed_chronic_bronchitis	969	969	Y
BIN22130	1272	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)	1272	1272	Y
BIN22131	3	Doctor_diagnosed_cystic_fibrosis	3	3	Y
BIN22132	36	Doctor_diagnosed_alpha-1_antitrypsin_deficiency	36	36	Y
BIN22133	366	Doctor_diagnosed_sarcoidosis	366	366	Y
BIN22134	760	Doctor_diagnosed_bronchiectasis	760	760	Y
BIN22135	87	Doctor_diagnosed_idiopathic_pulmonary_fibrosis	87	87	Y
BIN22136	37	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis	37	37	Y
BIN22137	442	Doctor_diagnosed_tuberculosis	442	442	Y
BIN22138	7	Doctor_diagnosed_silicosis	7	7	Y
BIN22139	61	Doctor_diagnosed_asbestosis	61	61	Y
BIN22140	103	Doctor_diagnosed_lung_cancer_(not_mesothelioma)	103	103	Y
BIN22141	8	Doctor_diagnosed_mesothelioma_of_the_lung	8	8	Y
BIN22502	11783	Cough_on_most_days	11783	11783	Y
BIN22504	7240	Bring_up_phlegm/sputum/mucus_on_most_days	7240	7240	Y
BIN2415	100606	Had_major_operations	100606	100606	Y
BIN3081	220612	Foot_measured_for_bone_density	220612	220612	Y
BIN3606	9131	Chest_pain_or_discomfort_walking_normally	9131	9131	Y
BIN3616	15911	Chest_pain_due_to_walking_ceases_when_standing_still	15911	15911	Y
BIN4092	126167	Heel_ultrasound_method_(left)_(Direct_entry_vs._Manual_entry)	126167	126167	Y
BIN4093	312	Fractured_heel_(left)	312	312	Y
BIN4095	126249	Heel_ultrasound_method_(right)_(Direct_entry_vs._Manual_entry)	126249	126249	Y
BIN4096	383	Fractured_heel_(right)	383	383	Y
BIN4598	68731	Ever_depressed_for_a_whole_week	68731	68731	Y
BIN4631	45917	Ever_unenthusiastic/disinterested_for_a_whole_week	45917	45917	Y
BIN4642	6789	Ever_manic/hyper_for_2_days	6789	6789	Y
BIN4653	22153	Ever_highly_irritable/argumentative_for_2_days	22153	22153	Y
BIN4728	28737	Leg_pain_on_walking	28737	28737	Y
BIN5181	7162	Ever_had_eye_surgery	7162	7162	Y
BIN5324	1990	Ever_had_cataract_surgery	1990	1990	Y
BIN5325	1830	Ever_had_refractive_laser_eye_surgery	1830	1830	Y
BIN5326	118	Ever_had_surgery_for_glaucoma_or_high_eye_pressure	118	118	Y
BIN5327	262	Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure	262	262	Y
BIN5328	150	Ever_had_corneal_graft_surgery	150	150	Y
BIN5452	17436	Leg_pain_when_standing_still_or_sitting	17436	17436	Y
BIN5463	9127	Leg_pain_in_calf/calves	9127	9127	Y
BIN5474	18890	Leg_pain_when_walking_uphill_or_hurrying	18890	18890	Y
BIN5485	15829	Leg_pain_when_walking_normally	15829	15829	Y
BIN5496	5512	Leg_pain_when_walking_ever_disappears_while_walking	5512	5512	Y
