#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
BIN12139	Believed_safe_to_perform_brain_MRI_scan	12139	25279	2001702	24983	481	340	0	3	2	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN12139.phe
BIN12188	Brain_MRI_measurement_completed	12188	25279	2001702	24983	25120	17723	94	76	193	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN12188.phe
BIN1677	Breastfed_as_a_baby	1677	21731	10136	24983	279555	183014	5403	1364	5740	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1677.phe
BIN19	Heel_ultrasound_method_(Direct_entry_vs._Manual_entry)	19	25279	2001702	24983	279121	194374	2297	934	2310	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN19.phe
BIN1920	Mood_swings	1920	21731	10136	24983	226046	151108	3135	740	3486	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1920.phe
BIN1930	Miserableness	1930	21731	10136	24983	213968	144124	2270	580	2723	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1930.phe
BIN1940	Irritability	1940	21731	10136	24983	136999	92490	1124	428	1629	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1940.phe
BIN1950	Sensitivity_/_hurt_feelings	1950	21731	10136	24983	272948	184612	2577	862	4105	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1950.phe
BIN1960	Fed-up_feelings	1960	21731	10136	24983	202861	136778	2358	547	2670	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1960.phe
BIN1970	Nervous_feelings	1970	21731	10136	24983	117538	79396	1065	470	1628	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1970.phe
BIN1980	Worrier_/_anxious_feelings	1980	21731	10136	24983	278741	188822	2663	922	3755	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1980.phe
BIN1990	Tense_/_'highly_strung'	1990	21731	10136	24983	87696	57394	1026	396	1514	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN1990.phe
BIN2000	Worry_too_long_after_embarrassment	2000	21731	10136	24983	233340	157640	2613	749	3351	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2000.phe
BIN2010	Suffer_from_'nerves'	2010	21731	10136	24983	104355	71057	897	365	1363	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2010.phe
BIN2020	Loneliness,_isolation	2020	21731	10136	24983	93759	60410	1683	366	1831	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2020.phe
BIN2030	Guilty_feelings	2030	21731	10136	24983	144104	95449	1957	463	2174	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2030.phe
BIN2040	Risk_taking	2040	21731	10136	24983	132682	84769	2593	523	2609	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2040.phe
BIN20401	Ever_addicted_to_any_substance_or_behaviour	20401	24613	10483	24983	9384	6375	39	20	50	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20401.phe
BIN20404	Ever_physically_dependent_on_alcohol	20404	24613	10483	24983	946	658	5	1	2	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20404.phe
BIN20406	Ever_addicted_to_alcohol	20406	24613	10483	24983	3593	2510	15	6	12	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20406.phe
BIN20415	Ongoing_addiction_to_alcohol	20415	24613	10483	24983	1536	1081	4	3	6	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20415.phe
