Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
Guhan	11/26/2018	Hand_grip_strength_(left)	INI46	10137	Hand grip strength (left)	46	1		1						499247	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46	
Guhan	11/26/2018	Hand_grip_strength_(right)	INI47	10137	Hand grip strength (right)	47	1		1						499320	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47	
Guhan	11/26/2018	Waist_circumference	INI48	9797	Waist circumference	48	1		1						500433	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48	
Guhan	11/26/2018	Hip_circumference	INI49	9797	Hip circumference	49	1		1						500371	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49	
Guhan	11/26/2018	Standing_height	INI50	9797	Standing height	50	1		1						500063	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50	
Guhan	11/26/2018	Cancer_year/age_first_occurred	INI84	9797	Cancer year/age first occurred	84	1		1		-3;-1				44241	Complete	Integer		Primary	Unisex	3	6	37	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84	
Guhan	11/26/2018	Non-cancer_illness_year/age_first_occurred	INI87	9797	Non-cancer illness year/age first occurred	87	1		1		-3;-1				382348	Complete	Integer		Primary	Unisex	3	33	37	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87	
Guhan	11/26/2018	Systolic_blood_pressure,_manual_reading	INI93	9797	Systolic blood pressure, manual reading	93	1		1						48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93	
Guhan	11/26/2018	Diastolic_blood_pressure,_manual_reading	INI94	9797	Diastolic blood pressure, manual reading	94	1		1						48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94	
Guhan	11/26/2018	Pulse_rate_(during_blood-pressure_measurement)	INI95	9797	Pulse rate (during blood-pressure measurement)	95	1		1						48260	Complete	Integer		Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95	
Guhan	11/26/2018	Pulse_rate,_automated_reading	INI102	9797	Pulse rate, automated reading	102	1		1						473871	Complete	Integer	bpm	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102	
Guhan	11/26/2018	Number_of_self-reported_cancers	INI134	9797	Number of self-reported cancers	134	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134	
Guhan	11/26/2018	Number_of_self-reported_non-cancer_illnesses	INI135	9797	Number of self-reported non-cancer illnesses	135	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135	
Guhan	11/26/2018	Number_of_treatments/medications_taken	INI137	9797	Number of treatments/medications taken	137	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137	
Guhan	11/26/2018	Time_spend_outdoors_in_summer	INI1050	9797	Time spend outdoors in summer	1050	1		1		-10;-1;-3				498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1050	NOTE: need to implement --recode in order to account for -10 (less than an hour) coding!
Guhan	11/26/2018	Time_spent_outdoors_in_winter	INI1060	9797	Time spent outdoors in winter	1060	1		1		-10;-1;-3				498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1060	NOTE: need to implement --recode in order to account for -10 (less than an hour a day) coding!
Guhan	11/26/2018	Sleep_duration	INI1160	9797	Sleep duration	1160	1		1		-1;-3				501672	Complete	Integer	hours/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1160	
Guhan	11/26/2018	Cooked_vegetable_intake	INI1289	9797	Cooked vegetable intake	1289	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289	NOTE: need to implement --recode in order to account for -10 (less than one a a day) coding!
Guhan	11/26/2018	Salad_/_raw_vegetable_intake	INI1299	9797	Salad / raw vegetable intake	1299	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299	
Guhan	11/26/2018	Fresh_fruit_intake	INI1309	9797	Fresh fruit intake	1309	1		1		-10;-1;-3				501666	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309	
Guhan	11/26/2018	Dried_fruit_intake	INI1319	9797	Dried fruit intake	1319	1		1		-10;-1;-3				501665	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319	
Guhan	11/26/2018	Bread_intake	INI1438	9797	Bread intake	1438	1		1		-10;-1;-3				498663	Complete	Integer	slices/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438	
Guhan	11/26/2018	Cereal_intake	INI1458	9797	Cereal intake	1458	1		1		-10;-1;-3				501560	Complete	Integer	bowls/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458	
Guhan	11/26/2018	Tea_intake	INI1488	9797	Tea intake	1488	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488	
Guhan	11/26/2018	Coffee_intake	INI1498	9797	Coffee intake	1498	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498	
Guhan	11/26/2018	Water_intake	INI1528	9797	Water intake	1528	1		1		-10;-1;-3				501662	Complete	Integer	glasses/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528	
