Folder	Number	Name
bin	1	BBJ.AF.txt.gz
bin	2	BBJ.RA.asian.autosome.txt.gz
bin	3	BBJ.RA.asian.chrX.txt.gz
bin	4	BBJ.RA.european.autosome.txt.gz
bin	5	BBJ.RA.european.chrX.txt.gz
bin	6	BBJ.RA.transethnic.autosome.txt.gz
bin	7	BBJ.RA.transethnic.chrX.txt.gz
bin	8	BBJ.POAG.autosome.txt.gz
bin	9	BBJ.POAG.chrX.male.txt.gz
bin	10	BBJ.POAG.chrX.female.txt.gz
bin	11	BBJ.colorectal_cancer.txt.gz
bin	14	BBJ.T2D.txt.gz
bin	15	BBJ.smoking_init.autosome.txt.gz
bin	16	BBJ.smoking_init.autosome.male.txt.gz
bin	17	BBJ.smoking_init.chrX.male.txt.gz
bin	18	BBJ.smoking_init.autosome.female.txt.gz
bin	19	BBJ.smoking_init.chrX.female.txt.gz
bin	20	BBJ.smoking_stop.autosome.txt.gz
bin	21	BBJ.smoking_stop.autosome.male.txt.gz
bin	22	BBJ.smoking_stop.chrX.male.txt.gz
bin	23	BBJ.smoking_stop.autosome.female.txt.gz
bin	24	BBJ.smoking_stop.chrX.female.txt.gz
qt	1	BBJ.BMI.autosome.txt.gz
qt	2	BBJ.BMI.autosome.male.txt.gz
qt	3	BBJ.BMI.chrX.male.txt.gz
qt	4	BBJ.BMI.autosome.female.txt.gz
qt	5	BBJ.BMI.chrX.female.txt.gz
qt	7	BBJ.AG.autosome.txt.gz
qt	8	BBJ.AG.chrX.txt.gz
qt	9	BBJ.ALP.autosome.txt.gz
qt	10	BBJ.ALP.chrX.txt.gz
qt	11	BBJ.ALT.autosome.txt.gz
qt	12	BBJ.ALT.chrX.txt.gz
qt	13	BBJ.APTT.autosome.txt.gz
qt	14	BBJ.APTT.chrX.txt.gz
qt	15	BBJ.AST.autosome.txt.gz
qt	16	BBJ.AST.chrX.txt.gz
qt	17	BBJ.Alb.autosome.txt.gz
qt	18	BBJ.Alb.chrX.txt.gz
qt	19	BBJ.BS.autosome.txt.gz
qt	20	BBJ.BS.chrX.txt.gz
qt	21	BBJ.BUN.autosome.txt.gz
qt	22	BBJ.BUN.chrX.txt.gz
qt	23	BBJ.Baso.autosome.txt.gz
qt	24	BBJ.Baso.chrX.txt.gz
qt	25	BBJ.CK.autosome.txt.gz
qt	26	BBJ.CK.chrX.txt.gz
qt	27	BBJ.CRP.autosome.txt.gz
qt	28	BBJ.CRP.chrX.txt.gz
qt	29	BBJ.Ca.autosome.txt.gz
qt	30	BBJ.Ca.chrX.txt.gz
qt	31	BBJ.Cl.autosome.txt.gz
qt	32	BBJ.Cl.chrX.txt.gz
qt	33	BBJ.DBP.autosome.txt.gz
qt	34	BBJ.DBP.chrX.txt.gz
